Воин_ИД,Название,Длительность
2187,Leg-Locker Curse,1
2196,Snake Summons Spell,0
2208,Full Body-Bind Curse,5
2217,Patronus Charm,3
2217,Brackium Emendo,0
2217,Blasting Curse,3
2225,Severing Charm,1
2225,Oculus Reparo,1
2233,Protego Maxima,3
2241,Protego Maxima,4
2241,Revelio Charm,1
2246,Slowing Charm,0
2246,Boggart-Banishing Spell,2
2246,Muffliato Charm,2
2275,Fire-Making Spell,2
2275,Levicorpus,2
2275,Cruciatus Curse,4
2347,Salvio hexia,3
2347,Stunning Spell,1
2384,Fire-Making Spell,5
2397,General Counter-Spell,1
2465,Spider repelling spell,1
2477,Unlocking Charm,3
2477,Episkey,2
2477,Locking Spell,4
2496,Vera Verto,0
2496,Protego Maxima,4
2623,Stunning Spell,2
2623,Vera Verto,3
2631,Fire-Making Spell,4
2631,Wand-Extinguishing Charm,2
2633,Leg-Locker Curse,2
2633,Incarcerous Spell,5
2633,Patronus Charm,0
2639,Summoning Charm,4
2639,Boggart-Banishing Spell,4
2639,Piertotum Locomotor,1
2652,Oppugno Jinx,5
2746,Protego totalum,2
2746,Leg-Locker Curse,3
2746,Repello Inimicum,0
2764,Summoning Charm,3
2804,Shrinking Charm,3
2804,Salvio hexia,3
2869,Wand-Extinguishing Charm,2
2869,Impediment Jinx,2
2882,Spider repelling spell,2
2882,Protego Maxima,2
2882,Oppugno Jinx,4
2892,Peskipiksi Pesternomi,2
2895,Protego Maxima,2
2895,Portus,3
2895,Summoning Charm,2
2963,Water-Making Spell,2
2977,Locking Spell,4
2978,Full Body-Bind Curse,2
2978,Cistem Aperio,2
2996,Memory Charm,2
2996,Exploding Charm,4
2996,Oculus Reparo,1
3101,Oculus Reparo,1
3131,Reverse Spell,2
3141,Reverse Spell,1
3196,Episkey,4
3196,Disarming Charm,2
3223,Revelio Charm,3
3223,Dissendium,4
3223,Muffliato Charm,5
3252,Revulsion Jinx,3
3252,Protego totalum,2
3274,Impediment Jinx,1
3274,Engorgement Charm,5
3274,Reverse Spell,4
3298,Protego totalum,0
3302,Expulso Curse,4
3305,Freezing Charm,5
3305,Leg-Locker Curse,4
3311,Levicorpus,4
3311,Water-Making Spell,5
3311,Imperius Curse,0
3367,Summoning Charm,5
3398,Snake Summons Spell,2
3441,Brackium Emendo,1
3441,Portus,1
3452,Incarcerous Spell,1
3452,Dissendium,5
3511,Water-Making Spell,4
3561,Wand-Lighting Charm,1
3561,Engorgement Charm,4
3561,Salvio hexia,4
3599,Impediment Jinx,3
3609,General Counter-Spell,1
3609,Lumos Maxima,3
3609,Muggle-Repelling Charm,1
3653,Brackium Emendo,5
3653,Sectumsempra,5
3662,Human Presence Revealing Spell,2
3662,Leg-Locker Curse,2
3749,Boggart-Banishing Spell,3
3749,Blasting Curse,0
3800,Brackium Emendo,2
3811,Unlocking Charm,1
3844,Water-Making Spell,2
3844,Summoning Charm,0
3844,Stunning Spell,4
3862,Tickling Charm,2
3862,Protego Maxima,4
3862,Fire-Making Spell,5
3893,Repello Inimicum,0
3925,Cistem Aperio,3
3927,Leg-Locker Curse,1
3927,Impediment Jinx,3
3927,Levitation Charm,5
3957,General Counter-Spell,4
3962,Patronus Charm,2
3962,Spider repelling spell,3
3991,Cistem Aperio,2
3991,Oppugno Jinx,3
3991,Slowing Charm,5
4002,Unlocking Charm,2
4002,Protego Maxima,1
4012,Oppugno Jinx,2
4012,Cistem Aperio,3
4012,Full Body-Bind Curse,3
4025,Expulso Curse,4
4025,Portus,1
4025,Repello Inimicum,1
4026,Locking Spell,0
4026,Incarcerous Spell,5
4029,Disarming Charm,2
4032,Oculus Reparo,3
4032,General Counter-Spell,3
4034,Levitation Charm,3
4034,Expulso Curse,1
4034,Engorgement Charm,2
4039,Summoning Charm,3
4039,Snake Summons Spell,3
4039,Episkey,2
4061,Imperius Curse,5
4120,Stunning Spell,4
4120,Slowing Charm,0
4148,Disarming Charm,0
4148,Human Presence Revealing Spell,5
4148,Portus,2
4155,Locomotion Charm,4
4155,Exploding Charm,2
4198,Mending Charm,1
4198,Engorgement Charm,3
4215,Snake-Vanishing Spell,1
4216,Lumos Solem Spell,1
4219,Levicorpus,2
4219,Engorgement Charm,2
4222,Brackium Emendo,3
4222,Sectumsempra,2
4224,Shrinking Charm,2
4384,Oppugno Jinx,1
4410,Revelio Charm,4
4410,Dissendium,0
4410,Severing Charm,4
4494,Disarming Charm,1
4494,Human Presence Revealing Spell,2
4510,Mending Charm,2
4510,Blasting Curse,4
4514,Muffliato Charm,1
4514,Imperius Curse,3
4514,Water-Making Spell,0
4612,Cistem Aperio,2
4612,Salvio hexia,0
4613,Snake-Vanishing Spell,0
4613,Oculus Reparo,4
4613,Launch an object up into the air,4
4617,Revulsion Jinx,1
4658,Muggle-Repelling Charm,3
4658,Stunning Spell,4
4658,Locomotion Charm,2
4666,Levitation Charm,3
4666,Impediment Jinx,1
4666,Oppugno Jinx,3
4692,Revelio Charm,5
4692,Muffliato Charm,5
4692,Unlocking Charm,4
4841,Killing Curse,2
4841,General Counter-Spell,2
4852,Full Body-Bind Curse,2
4852,Locking Spell,1
4852,Cruciatus Curse,5
4929,Locking Spell,0
4929,Blasting Curse,5
4934,Mending Charm,3
4934,Water-Making Spell,1
4975,Fire-Making Spell,4
4975,Summoning Charm,2
4997,Expulso Curse,4
4997,Locomotion Charm,5
5036,Salvio hexia,3
5036,Expulso Curse,0
5036,Repello Inimicum,5
5053,General Counter-Spell,5
5053,Wand-Lighting Charm,3
5060,Engorgement Charm,2
5060,Incarcerous Spell,2
5060,Exploding Charm,5
5069,Spider repelling spell,0
5069,Wand-Lighting Charm,0
5069,General Counter-Spell,5
5070,Water-Making Spell,3
5078,Cruciatus Curse,1
5078,Peskipiksi Pesternomi,5
5078,Expulso Curse,1
5092,Revelio Charm,4
5094,Expulso Curse,4
5114,Locomotion Charm,3
5114,Launch an object up into the air,3
5114,Repello Inimicum,0
5143,Salvio hexia,2
5143,Incarcerous Spell,0
5143,Engorgement Charm,5
5212,Leg-Locker Curse,4
5212,Oculus Reparo,1
5230,Blasting Curse,1
5230,Leg-Locker Curse,5
5230,Exploding Charm,2
5256,Portus,4
5256,Levicorpus,5
5256,Boggart-Banishing Spell,1
5297,Shrinking Charm,1
5330,Episkey,0
5330,Vera Verto,1
5330,Muggle-Repelling Charm,0
5347,Locking Spell,2
5347,Severing Charm,1
5347,Snake Summons Spell,5
5377,Shield Charm,4
5388,Muffliato Charm,4
5388,Blasting Curse,4
5392,Full Body-Bind Curse,0
5400,Launch an object up into the air,2
5400,Exploding Charm,5
5400,Revelio Charm,4
5554,Stunning Spell,4
5569,Wand-Extinguishing Charm,4
5569,Vera Verto,2
5571,Muffliato Charm,1
5571,Muggle-Repelling Charm,5
5571,Revelio Charm,1
5633,Lumos Maxima,5
5633,Wand-Lighting Charm,0
5644,Lumos Solem Spell,3
5651,Exploding Charm,3
5651,Shrinking Charm,2
5665,Disarming Charm,3
5665,Peskipiksi Pesternomi,2
5665,Shield Charm,0
5670,Reverse Spell,5
5670,Mending Charm,4
5702,General Counter-Spell,2
5702,Brackium Emendo,4
5765,Killing Curse,4
5765,Revelio Charm,1
5810,Oculus Reparo,1
5810,Piertotum Locomotor,2
5822,Locomotion Charm,1
5822,Blasting Curse,1
5822,Revulsion Jinx,4
5871,Exploding Charm,2
5871,Snake Summons Spell,4
5990,General Counter-Spell,4
5990,Reverse Spell,3
5990,Salvio hexia,5
5999,Incarcerous Spell,1
6034,Wand-Lighting Charm,5
6126,Cruciatus Curse,1
6126,Leg-Locker Curse,1
6150,Blasting Curse,3
6150,Oculus Reparo,3
6162,Shrinking Charm,3
6162,Locomotion Charm,4
6162,Oppugno Jinx,4
6246,Snake Summons Spell,5
6246,Levitation Charm,5
6247,Lumos Maxima,4
6288,Shield Charm,4
6288,Disarming Charm,2
6288,Blasting Curse,5
6298,Locking Spell,5
6470,Cistem Aperio,2
6470,Water-Making Spell,3
6496,Shrinking Charm,1
6496,Lumos Maxima,3
6572,Oculus Reparo,5
6585,Oculus Reparo,0
6585,Shield Charm,3
6585,Shrinking Charm,0
6603,Protego totalum,4
6623,Muggle-Repelling Charm,4
6623,Spider repelling spell,2
6639,Freezing Charm,3
6651,Protego Maxima,2
6666,Killing Curse,0
6695,Memory Charm,0
6695,Imperius Curse,0
6695,General Counter-Spell,5
6702,Peskipiksi Pesternomi,0
6702,Freezing Charm,4
6717,Revulsion Jinx,2
6728,Muffliato Charm,2
6728,Blasting Curse,1
6735,Piertotum Locomotor,1
6735,Imperius Curse,4
6741,Fire-Making Spell,3
6741,Patronus Charm,4
6741,Oppugno Jinx,4
6786,Levitation Charm,3
6786,Imperius Curse,3
6805,Portus,5
6805,Muggle-Repelling Charm,5
6805,Patronus Charm,4
6842,Engorgement Charm,1
6842,Levicorpus,0
6862,Patronus Charm,0
6862,Vera Verto,0
6891,Tickling Charm,1
6891,Brackium Emendo,0
6937,Blasting Curse,5
6937,Spider repelling spell,1
6944,Lumos Maxima,0
6965,Slowing Charm,1
6965,Shield Charm,1
6974,Leg-Locker Curse,3
6974,Snake-Vanishing Spell,5
6981,Fire-Making Spell,5
7035,Lumos Maxima,1
7072,Fire-Making Spell,0
7072,Engorgement Charm,1
7072,Imperius Curse,4
7105,General Counter-Spell,4
7121,Fire-Making Spell,5
7121,Shrinking Charm,3
7142,Spider repelling spell,1
7142,Revelio Charm,2
7142,Human Presence Revealing Spell,5
7149,Impediment Jinx,0
7149,Peskipiksi Pesternomi,2
7149,Revelio Charm,1
7168,Protego Maxima,3
7168,Brackium Emendo,4
7168,Cruciatus Curse,5
7214,Vera Verto,2
7214,Imperius Curse,5
7302,Levicorpus,2
7302,Revelio Charm,2
7302,Imperius Curse,0
7320,Expulso Curse,0
7320,Severing Charm,4
7324,Tickling Charm,3
7324,Severing Charm,5
7337,Muffliato Charm,1
7446,Launch an object up into the air,4
7446,Piertotum Locomotor,1
7446,Oppugno Jinx,5
7454,Shield Charm,1
7454,Muffliato Charm,3
7466,Muffliato Charm,5
7466,Locking Spell,5
7474,Lumos Solem Spell,4
7474,Vera Verto,1
7474,Tickling Charm,0
7501,Killing Curse,1
7501,Full Body-Bind Curse,1
7501,Snake-Vanishing Spell,4
7560,Sectumsempra,2
7560,Salvio hexia,5
7560,Killing Curse,5
7587,Human Presence Revealing Spell,1
7587,Cruciatus Curse,5
7588,Muggle-Repelling Charm,2
7588,Sectumsempra,5
7588,Repello Inimicum,0
7651,Patronus Charm,4
7651,Imperius Curse,5
7686,Severing Charm,3
7686,Salvio hexia,5
7711,Stunning Spell,1
7711,Brackium Emendo,1
7757,Locomotion Charm,5
7757,Protego Maxima,0
7783,Cistem Aperio,0
7783,Impediment Jinx,3
7783,Protego totalum,0
7836,Fire-Making Spell,0
7836,Severing Charm,3
7851,Cistem Aperio,0
7859,Summoning Charm,1
7859,Protego totalum,2
7859,Muggle-Repelling Charm,4
7868,Shield Charm,3
7868,Locking Spell,2
7868,Launch an object up into the air,0
7927,Engorgement Charm,2
7927,General Counter-Spell,3
7927,Leg-Locker Curse,2
7939,Unlocking Charm,5
7939,Engorgement Charm,0
7939,Exploding Charm,4
7965,Oppugno Jinx,1
8024,Exploding Charm,1
8024,Blasting Curse,2
8106,Snake Summons Spell,0
8127,Snake Summons Spell,3
8127,Levicorpus,3
8127,Impediment Jinx,2
8136,Reverse Spell,2
8250,Tickling Charm,4
8262,Locomotion Charm,5
8262,Salvio hexia,2
8262,Boggart-Banishing Spell,0
8265,Blasting Curse,2
8265,Locomotion Charm,2
8265,Engorgement Charm,5
8302,Snake-Vanishing Spell,4
8302,Boggart-Banishing Spell,2
8302,Memory Charm,0
8306,Sectumsempra,5
8306,Expulso Curse,3
8306,Human Presence Revealing Spell,5
8310,Dissendium,0
8310,Shield Charm,2
8323,Oppugno Jinx,2
8323,Imperius Curse,4
8371,Muffliato Charm,1
8371,Locking Spell,3
8371,Leg-Locker Curse,2
8430,Engorgement Charm,0
8430,Cistem Aperio,5
8430,Oculus Reparo,0
8441,Lumos Solem Spell,1
8441,Vera Verto,5
8441,Water-Making Spell,5
8448,Unlocking Charm,1
8448,Boggart-Banishing Spell,1
8448,Water-Making Spell,5
8461,Reverse Spell,4
8461,Leg-Locker Curse,0
8461,Vera Verto,5
8466,Summoning Charm,1
8466,Cistem Aperio,4
8466,General Counter-Spell,0
8495,Snake Summons Spell,1
8495,Salvio hexia,2
8495,Incarcerous Spell,4
8508,Repello Inimicum,0
8508,Protego totalum,0
8516,Salvio hexia,0
8516,Full Body-Bind Curse,0
8516,Freezing Charm,1
8554,Slowing Charm,0
8554,Lumos Maxima,3
8572,Locomotion Charm,5
8572,Leg-Locker Curse,4
8602,Impediment Jinx,3
8602,General Counter-Spell,3
8602,Severing Charm,3
8630,Revelio Charm,1
8630,Snake Summons Spell,0
8630,Piertotum Locomotor,0
8660,Cruciatus Curse,0
8660,Wand-Lighting Charm,1
8660,Patronus Charm,2
8675,Shield Charm,3
8675,Shrinking Charm,1
8675,Mending Charm,0
8692,Fire-Making Spell,0
8692,Oppugno Jinx,4
8695,Oculus Reparo,2
8695,Expulso Curse,4
8716,Revelio Charm,5
8716,Human Presence Revealing Spell,3
8723,Levitation Charm,0
8749,Wand-Extinguishing Charm,4
8749,Severing Charm,2
8749,Memory Charm,4
8799,Freezing Charm,3
8799,Revelio Charm,2
8799,Dissendium,2
8831,Mending Charm,5
8858,Disarming Charm,3
8895,Boggart-Banishing Spell,4
8922,Stunning Spell,0
8973,Levitation Charm,3
9012,Muffliato Charm,3
9012,Human Presence Revealing Spell,1
9012,Peskipiksi Pesternomi,2
9034,Sectumsempra,1
9034,Lumos Solem Spell,1
9050,Vera Verto,2
9050,Killing Curse,5
9050,Memory Charm,3
9053,Slowing Charm,5
9053,Peskipiksi Pesternomi,2
9064,Unlocking Charm,4
9064,Freezing Charm,4
9114,Cruciatus Curse,5
9116,Protego totalum,4
9116,Spider repelling spell,4
9183,Exploding Charm,1
9183,Locomotion Charm,5
9224,Revulsion Jinx,0
9234,Mending Charm,4
9234,Water-Making Spell,1
9308,Lumos Solem Spell,4
9358,Brackium Emendo,2
9358,Locking Spell,4
9358,Shrinking Charm,0
9424,Leg-Locker Curse,5
9424,Piertotum Locomotor,0
9542,Snake-Vanishing Spell,0
9542,Sectumsempra,1
9585,Levicorpus,2
9585,Muffliato Charm,4
9585,Repello Inimicum,4
9607,Boggart-Banishing Spell,2
9607,Water-Making Spell,4
9646,Memory Charm,3
9656,Vera Verto,0
9670,Fire-Making Spell,2
9670,Levitation Charm,1
9670,Piertotum Locomotor,0
9713,Repello Inimicum,5
9713,Reverse Spell,1
9713,Snake-Vanishing Spell,5
9748,Dissendium,2
9748,Stunning Spell,4
9765,Memory Charm,2
9765,Killing Curse,2
9805,Spider repelling spell,4
9805,Leg-Locker Curse,0
9805,Vera Verto,4
9814,Wand-Extinguishing Charm,4
9814,Lumos Maxima,3
9814,Disarming Charm,0
9822,Summoning Charm,3
9886,Shrinking Charm,4
9886,Brackium Emendo,4
9897,Wand-Extinguishing Charm,4
9897,Snake-Vanishing Spell,1
9897,Snake Summons Spell,0
9901,Imperius Curse,1
9905,Revelio Charm,4
9905,Leg-Locker Curse,4
9905,Launch an object up into the air,0
9912,Sectumsempra,1
9912,Wand-Extinguishing Charm,0
9993,Repello Inimicum,2
10023,Unlocking Charm,4
10032,Summoning Charm,2
10032,Portus,0
10032,General Counter-Spell,3
10033,Boggart-Banishing Spell,1
10033,Muggle-Repelling Charm,0
10143,Summoning Charm,0
10143,Repello Inimicum,0
10143,Freezing Charm,3
10148,Salvio hexia,0
10148,Summoning Charm,1
10148,Reverse Spell,3
10174,Protego totalum,2
10217,Slowing Charm,5
10217,Patronus Charm,5
10247,Episkey,3
10247,Snake Summons Spell,1
10250,Salvio hexia,5
10250,Cistem Aperio,5
10250,Protego totalum,0
10292,Muffliato Charm,3
10292,Reverse Spell,0
10300,Imperius Curse,1
10338,Salvio hexia,5
10341,Wand-Lighting Charm,3
10341,Incarcerous Spell,5
10355,Sectumsempra,5
10355,Oppugno Jinx,0
10355,Spider repelling spell,4
10391,Reverse Spell,4
10418,Unlocking Charm,1
10418,Peskipiksi Pesternomi,2
10431,Sectumsempra,2
10456,Water-Making Spell,0
10456,Portus,2
10456,Reverse Spell,3
10498,Episkey,5
10498,Peskipiksi Pesternomi,1
10537,Cruciatus Curse,3
10537,Oppugno Jinx,3
10545,Locking Spell,3
10545,Piertotum Locomotor,0
10545,Water-Making Spell,3
10688,Lumos Maxima,5
10688,Oculus Reparo,2
10730,Snake-Vanishing Spell,4
10730,Full Body-Bind Curse,2
10736,Levicorpus,0
10736,Protego totalum,2
10782,Levicorpus,1
10788,Water-Making Spell,0
10822,Revelio Charm,3
10822,Muffliato Charm,5
10852,Fire-Making Spell,5
10852,Disarming Charm,3
10895,Episkey,4
10895,Severing Charm,0
10937,Impediment Jinx,3
10940,Oppugno Jinx,2
10940,Launch an object up into the air,0
10961,Wand-Lighting Charm,2
10961,Mending Charm,1
10961,Dissendium,5
11003,Piertotum Locomotor,3
11003,Locomotion Charm,3
11031,Tickling Charm,4
11031,Stunning Spell,3
11073,Expulso Curse,4
11118,Levicorpus,2
11118,Spider repelling spell,3
11119,Mending Charm,3
11119,Vera Verto,2
11141,Water-Making Spell,0
11163,Repello Inimicum,1
11163,Full Body-Bind Curse,3
11172,Imperius Curse,4
11172,Episkey,1
11172,Brackium Emendo,3
11265,Wand-Lighting Charm,4
11343,Exploding Charm,2
11343,Levicorpus,2
11354,Tickling Charm,3
11355,Portus,0
11355,Dissendium,0
11355,Oppugno Jinx,4
11394,Killing Curse,5
11411,Levitation Charm,4
11411,Launch an object up into the air,3
11411,Blasting Curse,5
11435,Launch an object up into the air,1
11435,Stunning Spell,0
11435,Brackium Emendo,0
11454,Levitation Charm,5
11454,Shield Charm,3
11534,Vera Verto,0
11671,Oppugno Jinx,0
11671,Levicorpus,4
11671,Wand-Extinguishing Charm,5
11672,Protego totalum,2
11682,Lumos Maxima,2
11682,Launch an object up into the air,0
11691,Patronus Charm,1
11727,Impediment Jinx,0
11727,Slowing Charm,1
11727,General Counter-Spell,3
11738,Imperius Curse,2
11738,Summoning Charm,5
11757,Cruciatus Curse,0
11764,Piertotum Locomotor,0
11764,Incarcerous Spell,4
11764,Spider repelling spell,2
11774,Levitation Charm,0
11774,Fire-Making Spell,5
11799,Piertotum Locomotor,4
11867,Memory Charm,3
11867,Reverse Spell,0
11879,Full Body-Bind Curse,0
11903,Fire-Making Spell,5
12020,Wand-Extinguishing Charm,1
12020,Lumos Solem Spell,2
12020,Shrinking Charm,0
12033,Snake-Vanishing Spell,3
12099,Unlocking Charm,4
12099,Slowing Charm,5
12276,Piertotum Locomotor,2
12285,Muggle-Repelling Charm,3
12285,General Counter-Spell,1
12285,Lumos Solem Spell,5
12291,Levitation Charm,1
12297,Boggart-Banishing Spell,5
12334,Incarcerous Spell,5
12347,Dissendium,5
12347,Memory Charm,3
12363,Shrinking Charm,3
12363,Sectumsempra,1
12363,Revulsion Jinx,1
12424,Peskipiksi Pesternomi,5
12446,Stunning Spell,3
12446,Human Presence Revealing Spell,0
12456,Snake-Vanishing Spell,3
12456,Protego totalum,3
12463,Memory Charm,3
12463,Salvio hexia,2
12463,Snake-Vanishing Spell,1
12467,Disarming Charm,5
12510,Launch an object up into the air,0
12510,Mending Charm,3
12510,Shield Charm,2
12517,Incarcerous Spell,3
12541,Severing Charm,4
12541,Peskipiksi Pesternomi,4
12555,Tickling Charm,1
12555,Snake-Vanishing Spell,0
12615,Water-Making Spell,5
12615,Shield Charm,2
12619,Portus,0
12619,Freezing Charm,5
12656,Leg-Locker Curse,5
12656,Lumos Solem Spell,2
12685,Levitation Charm,1
12685,Levicorpus,1
12712,Salvio hexia,1
12712,Protego Maxima,3
12789,Imperius Curse,3
12789,Episkey,2
12843,Engorgement Charm,4
12843,Memory Charm,4
12843,Cruciatus Curse,5
12871,Wand-Lighting Charm,4
12871,Killing Curse,3
12871,Vera Verto,2
12879,Freezing Charm,2
12879,Water-Making Spell,1
12933,Repello Inimicum,0
12933,Slowing Charm,2
12980,Fire-Making Spell,4
12980,Snake-Vanishing Spell,2
12985,Locomotion Charm,5
12985,Stunning Spell,0
12985,Launch an object up into the air,2
13189,Revelio Charm,0
13225,Tickling Charm,1
13225,Snake Summons Spell,1
13225,Imperius Curse,2
13226,Locking Spell,3
13229,Unlocking Charm,0
13246,Lumos Maxima,5
13312,Revulsion Jinx,5
13349,Incarcerous Spell,4
13349,Engorgement Charm,4
13349,Spider repelling spell,5
13382,Muffliato Charm,0
13419,Patronus Charm,3
13443,Locking Spell,0
13475,Levitation Charm,2
13475,Disarming Charm,0
13478,Water-Making Spell,2
13478,Human Presence Revealing Spell,0
13478,Wand-Lighting Charm,5
13526,Spider repelling spell,4
13526,General Counter-Spell,0
13584,Portus,1
13643,Vera Verto,1
13643,Full Body-Bind Curse,3
13643,Muggle-Repelling Charm,4
13644,Cruciatus Curse,0
13644,Summoning Charm,0
13644,Cistem Aperio,3
13684,Lumos Solem Spell,0
13762,Incarcerous Spell,0
13762,Repello Inimicum,0
13810,Reverse Spell,5
13810,Protego Maxima,2
13826,Revelio Charm,1
13826,Protego Maxima,1
13871,Summoning Charm,1
13871,Shield Charm,1
13871,Vera Verto,2
13911,Locomotion Charm,3
13952,Water-Making Spell,2
13962,Memory Charm,2
13962,Disarming Charm,4
14021,Locking Spell,1
14021,Levicorpus,3
14021,Piertotum Locomotor,5
14048,Human Presence Revealing Spell,5
14048,Unlocking Charm,5
14109,Oculus Reparo,1
14111,Vera Verto,0
14111,Revulsion Jinx,3
14111,Expulso Curse,2
14118,Brackium Emendo,3
14118,Tickling Charm,0
14120,Mending Charm,3
14120,Snake Summons Spell,1
14149,Cistem Aperio,3
14149,Shrinking Charm,0
14190,Water-Making Spell,1
14190,Reverse Spell,5
14190,Memory Charm,2
14213,Brackium Emendo,2
14213,Blasting Curse,3
14275,Lumos Maxima,0
14279,Blasting Curse,1
14339,Wand-Extinguishing Charm,2
14339,Muggle-Repelling Charm,3
14374,Cruciatus Curse,2
14374,Tickling Charm,4
14374,Imperius Curse,1
14382,Salvio hexia,3
14382,Revulsion Jinx,5
14382,Locking Spell,3
14411,Brackium Emendo,5
14411,Cistem Aperio,0
14411,Peskipiksi Pesternomi,0
14495,Human Presence Revealing Spell,2
14495,Boggart-Banishing Spell,0
14547,Freezing Charm,0
14602,Freezing Charm,1
14602,Levitation Charm,4
14602,Killing Curse,4
14604,Oculus Reparo,2
14604,Impediment Jinx,2
14607,Brackium Emendo,0
14655,Peskipiksi Pesternomi,0
14655,Stunning Spell,1
14655,Unlocking Charm,0
14850,Water-Making Spell,1
14850,Killing Curse,5
14980,Stunning Spell,2
15025,Vera Verto,1
15089,Muggle-Repelling Charm,5
15091,Freezing Charm,5
15163,Human Presence Revealing Spell,1
15163,Oculus Reparo,1
15163,Lumos Solem Spell,0
15165,Full Body-Bind Curse,3
15165,Oppugno Jinx,2
15200,Locking Spell,3
15234,Incarcerous Spell,4
15234,Expulso Curse,5
15234,Tickling Charm,4
15252,Oculus Reparo,3
15252,Disarming Charm,2
15259,Cistem Aperio,5
15306,Reverse Spell,0
15306,Exploding Charm,3
15391,Muffliato Charm,2
15391,Summoning Charm,4
15391,Oculus Reparo,2
15418,Snake Summons Spell,1
15418,Imperius Curse,3
15418,Muffliato Charm,3
15424,Exploding Charm,0
15424,Levicorpus,0
15424,Expulso Curse,0
15451,Severing Charm,3
15451,Mending Charm,3
15508,Severing Charm,2
15508,Shield Charm,5
15509,Cruciatus Curse,4
15514,Mending Charm,3
15514,Levicorpus,2
15514,Vera Verto,0
15547,Oculus Reparo,3
15547,Oppugno Jinx,0
15575,Locomotion Charm,1
15575,Engorgement Charm,1
15585,Locomotion Charm,1
15585,Brackium Emendo,2
15600,Levicorpus,3
15600,Engorgement Charm,2
15600,Levitation Charm,1
15604,Lumos Maxima,1
15604,Exploding Charm,2
15604,Shield Charm,5
