ВОИН_ИД,ЗАКЛИНАНИЕ_НАЗВАНИЕ
1251,Blasting Curse
1252,Snake-Vanishing Spell
1252,Episkey
1252,Exploding Charm
1268,Exploding Charm
1268,Repello Inimicum
1269,Oppugno Jinx
1269,Peskipiksi Pesternomi
1269,Full Body-Bind Curse
1278,Reverse Spell
1278,Portus
1285,Lumos Solem Spell
1285,Oculus Reparo
1288,Repello Inimicum
1334,Killing Curse
1334,Locomotion Charm
1334,Shield Charm
1348,Patronus Charm
1348,Peskipiksi Pesternomi
1348,Muggle-Repelling Charm
1373,Imperius Curse
1379,Patronus Charm
1386,Shield Charm
1386,Snake Summons Spell
1405,Levicorpus
1405,Cruciatus Curse
1425,Expulso Curse
1426,Vera Verto
1426,Protego Maxima
1430,Episkey
1433,Fire-Making Spell
1452,Leg-Locker Curse
1473,Lumos Maxima
1490,Levitation Charm
1499,Mending Charm
1500,Disarming Charm
1507,Revulsion Jinx
1508,Exploding Charm
1514,Disarming Charm
1537,Repello Inimicum
1560,Oculus Reparo
1560,Dissendium
1569,Launch an object up into the air
1610,Oculus Reparo
1619,Leg-Locker Curse
1619,Locomotion Charm
1619,Severing Charm
1634,Launch an object up into the air
1637,Freezing Charm
1637,Oppugno Jinx
1663,Lumos Maxima
1663,Launch an object up into the air
1669,Expulso Curse
1669,Wand-Extinguishing Charm
1766,Revelio Charm
1799,Incarcerous Spell
1800,Impediment Jinx
1800,General Counter-Spell
1800,Cistem Aperio
1822,Lumos Solem Spell
1822,Lumos Maxima
1822,Severing Charm
1843,Launch an object up into the air
1843,General Counter-Spell
1843,Revulsion Jinx
1868,Wand-Extinguishing Charm
1868,Stunning Spell
1871,Cistem Aperio
1871,Leg-Locker Curse
1871,Snake-Vanishing Spell
1872,Summoning Charm
1872,Salvio hexia
1888,Oppugno Jinx
1915,Dissendium
1915,Levitation Charm
1915,Impediment Jinx
1929,Locomotion Charm
1929,Episkey
1942,Peskipiksi Pesternomi
1942,Muffliato Charm
1942,Freezing Charm
1980,Muffliato Charm
1980,Unlocking Charm
1981,Reverse Spell
1989,Wand-Extinguishing Charm
1992,Locomotion Charm
2009,Oppugno Jinx
2009,Brackium Emendo
2009,Spider repelling spell
2011,Exploding Charm
2011,Cistem Aperio
2015,Spider repelling spell
2018,Boggart-Banishing Spell
2018,Stunning Spell
2018,Vera Verto
2031,Incarcerous Spell
2031,Tickling Charm
2031,Revelio Charm
2042,Patronus Charm
2042,Water-Making Spell
2058,Snake Summons Spell
2058,Spider repelling spell
2076,Patronus Charm
2076,Sectumsempra
2077,Incarcerous Spell
2077,Oppugno Jinx
2077,Levitation Charm
2093,Severing Charm
2093,Oculus Reparo
2093,Protego Maxima
2109,Episkey
2109,Exploding Charm
2109,Freezing Charm
2111,Portus
2119,Leg-Locker Curse
2124,Repello Inimicum
2124,Exploding Charm
2131,Shield Charm
2131,Shrinking Charm
2131,Fire-Making Spell
2133,Muffliato Charm
2133,Blasting Curse
2146,Oppugno Jinx
2178,Sectumsempra
2178,Episkey
2195,Shield Charm
2195,Levicorpus
2195,Full Body-Bind Curse
2212,Impediment Jinx
2212,Leg-Locker Curse
2212,Episkey
2218,Wand-Lighting Charm
2218,Leg-Locker Curse
2248,Shrinking Charm
2248,Killing Curse
2248,Impediment Jinx
2264,Repello Inimicum
2264,Expulso Curse
2264,Full Body-Bind Curse
2287,Locking Spell
2287,Stunning Spell
2296,Vera Verto
2296,Mending Charm
2297,Cruciatus Curse
2306,Spider repelling spell
2335,Fire-Making Spell
2338,Launch an object up into the air
2338,Imperius Curse
2338,Boggart-Banishing Spell
2347,Revelio Charm
2347,Repello Inimicum
2347,Sectumsempra
2400,Brackium Emendo
2400,Dissendium
2400,Lumos Maxima
2422,Repello Inimicum
2422,Incarcerous Spell
2422,Imperius Curse
2424,Muggle-Repelling Charm
2424,Tickling Charm
2428,Snake-Vanishing Spell
2460,Muggle-Repelling Charm
2464,Cistem Aperio
2484,Levicorpus
2539,Cistem Aperio
2539,Severing Charm
2571,Unlocking Charm
2579,Leg-Locker Curse
2590,Muggle-Repelling Charm
2597,Blasting Curse
2597,Levicorpus
2597,Cistem Aperio
2604,Muffliato Charm
2618,Slowing Charm
2618,Engorgement Charm
2618,Memory Charm
2627,Fire-Making Spell
2627,Wand-Extinguishing Charm
2631,Piertotum Locomotor
2631,Boggart-Banishing Spell
2641,Exploding Charm
2641,Engorgement Charm
2658,Wand-Extinguishing Charm
2658,Slowing Charm
2658,Boggart-Banishing Spell
2672,Levitation Charm
2672,Locking Spell
2681,Exploding Charm
2681,Muggle-Repelling Charm
2692,Fire-Making Spell
2700,Snake Summons Spell
2700,Launch an object up into the air
2704,Brackium Emendo
2704,Vera Verto
2729,Engorgement Charm
2729,Salvio hexia
2771,Muffliato Charm
2785,Slowing Charm
2819,Cistem Aperio
2819,Oculus Reparo
2819,Boggart-Banishing Spell
2855,Exploding Charm
2855,Snake Summons Spell
2855,Mending Charm
2869,Muggle-Repelling Charm
2871,Cistem Aperio
2871,Boggart-Banishing Spell
2871,Dissendium
2878,Patronus Charm
2882,Killing Curse
2890,Locomotion Charm
2890,Reverse Spell
2890,Snake Summons Spell
2903,Snake Summons Spell
2917,Severing Charm
2917,Exploding Charm
2917,Fire-Making Spell
2943,Severing Charm
2943,Levicorpus
2943,Oppugno Jinx
2969,Lumos Solem Spell
2969,Levitation Charm
2969,Revelio Charm
2986,Fire-Making Spell
2986,Snake Summons Spell
2986,Sectumsempra
2989,Lumos Solem Spell
2989,Wand-Extinguishing Charm
2989,Imperius Curse
3015,Muffliato Charm
3015,Portus
3023,Peskipiksi Pesternomi
3045,Memory Charm
3045,Cistem Aperio
3045,Full Body-Bind Curse
3052,Shrinking Charm
3052,Salvio hexia
3052,Oppugno Jinx
3063,Shield Charm
3067,Killing Curse
3067,Peskipiksi Pesternomi
3077,Wand-Extinguishing Charm
3122,Fire-Making Spell
3122,Engorgement Charm
3155,Reverse Spell
3163,Salvio hexia
3163,Reverse Spell
3165,Portus
3178,Water-Making Spell
3223,Portus
3224,Repello Inimicum
3225,Disarming Charm
3225,Sectumsempra
3225,Spider repelling spell
3238,Shrinking Charm
3242,Snake-Vanishing Spell
3275,Lumos Solem Spell
3303,Sectumsempra
3303,Cistem Aperio
3303,Shrinking Charm
3313,Episkey
3313,Protego totalum
3327,Reverse Spell
3327,Protego Maxima
3327,Killing Curse
3328,Vera Verto
3331,Muffliato Charm
3331,Protego Maxima
3331,Memory Charm
3344,Levitation Charm
3344,Human Presence Revealing Spell
3396,Stunning Spell
3396,Reverse Spell
3399,Cruciatus Curse
3399,Oppugno Jinx
3401,Launch an object up into the air
3401,Unlocking Charm
3401,Muggle-Repelling Charm
3406,Leg-Locker Curse
3419,Muggle-Repelling Charm
3419,Exploding Charm
3419,Wand-Lighting Charm
3427,Shield Charm
3427,Spider repelling spell
3427,Levitation Charm
3436,Imperius Curse
3443,Tickling Charm
3443,Slowing Charm
3443,Revulsion Jinx
3460,Snake Summons Spell
3460,Shield Charm
3493,Snake-Vanishing Spell
3496,Blasting Curse
3496,Lumos Solem Spell
3545,Blasting Curse
3545,Levicorpus
3576,Cruciatus Curse
3576,Dissendium
3588,Fire-Making Spell
3588,Shield Charm
3588,Human Presence Revealing Spell
3622,Piertotum Locomotor
3622,Memory Charm
3622,Cruciatus Curse
3639,Launch an object up into the air
3639,Portus
3639,Impediment Jinx
3657,Dissendium
3657,Stunning Spell
3658,Human Presence Revealing Spell
3668,Protego Maxima
3668,Repello Inimicum
3753,Repello Inimicum
3753,Disarming Charm
3753,Patronus Charm
3756,Expulso Curse
3756,Snake Summons Spell
3785,Slowing Charm
3785,Oppugno Jinx
3785,Fire-Making Spell
3796,Levicorpus
3796,Salvio hexia
3802,Protego totalum
3802,Wand-Lighting Charm
3802,Launch an object up into the air
3808,Imperius Curse
3808,Lumos Solem Spell
3808,Summoning Charm
3825,Sectumsempra
3827,Shrinking Charm
3827,Impediment Jinx
3831,Blasting Curse
3831,Cruciatus Curse
3831,Freezing Charm
3845,Protego totalum
3853,Portus
3853,Leg-Locker Curse
3858,Freezing Charm
3858,Severing Charm
3858,Blasting Curse
3862,Impediment Jinx
3862,Portus
3868,Full Body-Bind Curse
3868,Wand-Lighting Charm
3872,Protego totalum
3874,Memory Charm
3884,Piertotum Locomotor
3884,Blasting Curse
3884,Muggle-Repelling Charm
3886,Protego Maxima
3886,Levicorpus
3886,General Counter-Spell
3906,Oculus Reparo
3917,Sectumsempra
3917,Memory Charm
3932,Imperius Curse
3932,Portus
3932,Peskipiksi Pesternomi
3944,Muffliato Charm
3962,Portus
3962,Oculus Reparo
3979,Muggle-Repelling Charm
4013,Imperius Curse
4013,Sectumsempra
4015,Spider repelling spell
4015,Blasting Curse
4030,Spider repelling spell
4030,Boggart-Banishing Spell
4031,Imperius Curse
4031,Sectumsempra
4031,Patronus Charm
4047,Water-Making Spell
4047,Salvio hexia
4047,Mending Charm
4064,Freezing Charm
4064,Cruciatus Curse
4080,Reverse Spell
4080,Stunning Spell
4119,Full Body-Bind Curse
4138,Shrinking Charm
4138,Summoning Charm
4148,Imperius Curse
4148,Locking Spell
4171,Sectumsempra
4171,Unlocking Charm
4171,Snake Summons Spell
4185,Episkey
4185,Oculus Reparo
4185,Mending Charm
4186,Shrinking Charm
4186,Snake-Vanishing Spell
4186,Protego Maxima
4223,Revulsion Jinx
4226,Severing Charm
4226,Leg-Locker Curse
4226,Wand-Lighting Charm
4234,Cruciatus Curse
4234,Summoning Charm
4234,Levitation Charm
4244,Launch an object up into the air
4253,Summoning Charm
4253,Snake Summons Spell
4254,Snake Summons Spell
4254,Muffliato Charm
4279,Muffliato Charm
4298,Vera Verto
4298,Snake-Vanishing Spell
4314,Memory Charm
4314,Vera Verto
4314,Lumos Maxima
4323,Oculus Reparo
4323,Human Presence Revealing Spell
4336,Water-Making Spell
4336,Muffliato Charm
4364,Unlocking Charm
4364,Spider repelling spell
4364,Levitation Charm
4415,Tickling Charm
4415,Unlocking Charm
4415,Severing Charm
4419,Locomotion Charm
4419,Revelio Charm
4441,Levicorpus
4447,Episkey
4447,Impediment Jinx
4456,Severing Charm
4462,Dissendium
4473,Water-Making Spell
4473,Fire-Making Spell
4487,Launch an object up into the air
4499,Portus
4499,Cistem Aperio
4499,Water-Making Spell
4504,Levicorpus
4534,Snake Summons Spell
4536,Lumos Maxima
4571,General Counter-Spell
4599,Oppugno Jinx
4599,Dissendium
4601,Tickling Charm
4601,Fire-Making Spell
4627,Oculus Reparo
4627,Levitation Charm
4628,Imperius Curse
4628,Freezing Charm
4669,Wand-Extinguishing Charm
4669,Tickling Charm
4669,Wand-Lighting Charm
4717,Oppugno Jinx
4717,Mending Charm
4717,Wand-Extinguishing Charm
4719,Fire-Making Spell
4719,Locking Spell
4729,Freezing Charm
4738,Oculus Reparo
4747,Disarming Charm
4754,Lumos Solem Spell
4754,Shrinking Charm
4754,Oppugno Jinx
4764,Water-Making Spell
4764,Wand-Extinguishing Charm
4764,Engorgement Charm
4768,Severing Charm
4820,Salvio hexia
4825,Lumos Maxima
4840,Muggle-Repelling Charm
4871,Disarming Charm
4871,Peskipiksi Pesternomi
4880,Muffliato Charm
4883,Stunning Spell
4924,Launch an object up into the air
4924,Muffliato Charm
4951,Piertotum Locomotor
4951,Engorgement Charm
4951,Leg-Locker Curse
4958,Blasting Curse
4958,Engorgement Charm
4959,Spider repelling spell
4977,Protego Maxima
4977,Imperius Curse
4977,Patronus Charm
4978,Portus
4978,Severing Charm
4978,Revulsion Jinx
5036,Patronus Charm
5043,Impediment Jinx
5043,Boggart-Banishing Spell
5072,Revelio Charm
5072,Spider repelling spell
5072,Levitation Charm
5088,Dissendium
5088,Full Body-Bind Curse
5088,Incarcerous Spell
5106,Dissendium
5129,Launch an object up into the air
5129,Shield Charm
5139,Sectumsempra
5152,Leg-Locker Curse
5152,Protego totalum
5168,Tickling Charm
5168,Sectumsempra
5168,Launch an object up into the air
5170,Snake-Vanishing Spell
5170,Disarming Charm
5170,Leg-Locker Curse
5192,Slowing Charm
5212,Sectumsempra
5212,Shield Charm
5225,Engorgement Charm
5230,Shield Charm
5230,Protego totalum
5234,Imperius Curse
5234,Lumos Maxima
5234,Fire-Making Spell
5258,Human Presence Revealing Spell
5258,Slowing Charm
5308,Memory Charm
5332,Expulso Curse
5337,Human Presence Revealing Spell
5337,Levitation Charm
5338,Imperius Curse
5345,Vera Verto
5354,Protego Maxima
5354,Dissendium
5354,Oculus Reparo
5373,Engorgement Charm
5373,Levicorpus
5379,Oppugno Jinx
5379,Snake Summons Spell
5380,Brackium Emendo
5413,Snake-Vanishing Spell
5436,Oppugno Jinx
5444,Wand-Lighting Charm
5444,Snake Summons Spell
5444,Blasting Curse
5445,Launch an object up into the air
5460,Muggle-Repelling Charm
5460,Exploding Charm
5466,Patronus Charm
5466,Brackium Emendo
5466,Muggle-Repelling Charm
5478,Episkey
5478,General Counter-Spell
5478,Severing Charm
5488,Unlocking Charm
5488,Stunning Spell
5488,Killing Curse
5498,Spider repelling spell
5501,Muggle-Repelling Charm
5504,Launch an object up into the air
5504,Repello Inimicum
5504,Stunning Spell
5506,Lumos Solem Spell
5521,Expulso Curse
5534,Levicorpus
5534,Revulsion Jinx
5543,Peskipiksi Pesternomi
5550,Oculus Reparo
5550,Expulso Curse
5550,Sectumsempra
5553,Locking Spell
5553,Lumos Maxima
5567,Vera Verto
5572,Protego Maxima
5572,Muggle-Repelling Charm
5572,Locomotion Charm
5577,Locomotion Charm
5577,Stunning Spell
5577,Cistem Aperio
5591,Wand-Extinguishing Charm
5591,Oculus Reparo
5591,Portus
5635,Sectumsempra
5660,Repello Inimicum
5660,Slowing Charm
5660,Revelio Charm
5675,Wand-Lighting Charm
5675,Revulsion Jinx
5675,Oppugno Jinx
5688,Mending Charm
5693,Expulso Curse
5693,Impediment Jinx
5693,Revelio Charm
5703,Summoning Charm
5703,Impediment Jinx
5703,Patronus Charm
5748,Human Presence Revealing Spell
5748,Shrinking Charm
5750,Boggart-Banishing Spell
5768,Revelio Charm
5768,Memory Charm
5769,Slowing Charm
5769,Episkey
5770,Reverse Spell
5771,Boggart-Banishing Spell
5771,Incarcerous Spell
5781,Leg-Locker Curse
5781,Launch an object up into the air
5785,Lumos Maxima
5785,Protego totalum
5788,Water-Making Spell
5788,Reverse Spell
5788,Lumos Maxima
5789,Impediment Jinx
5789,Muggle-Repelling Charm
5803,Killing Curse
5803,Protego Maxima
5883,Human Presence Revealing Spell
5883,Lumos Maxima
5883,Vera Verto
5919,Engorgement Charm
5924,Stunning Spell
5928,Memory Charm
5928,Killing Curse
5928,Launch an object up into the air
5932,Wand-Extinguishing Charm
5932,Shield Charm
5932,Memory Charm
5936,Impediment Jinx
5947,Human Presence Revealing Spell
5947,Revelio Charm
5947,Episkey
5954,Snake Summons Spell
5974,Salvio hexia
6000,Severing Charm
6000,Lumos Maxima
6000,Dissendium
6022,Summoning Charm
6051,Summoning Charm
6051,Expulso Curse
6068,Reverse Spell
6068,General Counter-Spell
6068,Repello Inimicum
6085,Expulso Curse
6087,Muggle-Repelling Charm
6129,Shield Charm
6129,Peskipiksi Pesternomi
6129,Fire-Making Spell
6138,Oppugno Jinx
6138,Protego Maxima
6178,Human Presence Revealing Spell
6220,Incarcerous Spell
6220,Levicorpus
6220,Unlocking Charm
6228,Water-Making Spell
6230,Expulso Curse
6286,Shrinking Charm
6286,Locking Spell
6286,Patronus Charm
6305,Water-Making Spell
6305,Killing Curse
6305,Exploding Charm
6318,Human Presence Revealing Spell
6318,Killing Curse
6354,Vera Verto
6371,Memory Charm
6371,Oppugno Jinx
6386,Killing Curse
6386,Revulsion Jinx
6386,Engorgement Charm
6434,Episkey
6447,Exploding Charm
6447,Expulso Curse
6447,Salvio hexia
6448,Imperius Curse
6448,Piertotum Locomotor
6451,Oppugno Jinx
6451,Exploding Charm
6462,Protego Maxima
6462,Salvio hexia
6462,Boggart-Banishing Spell
6467,Unlocking Charm
6492,Fire-Making Spell
6511,Sectumsempra
6511,Revelio Charm
6511,General Counter-Spell
6533,Lumos Solem Spell
6551,Mending Charm
6551,Reverse Spell
6551,Full Body-Bind Curse
6561,Dissendium
6566,Lumos Solem Spell
6573,Wand-Extinguishing Charm
6573,Brackium Emendo
6573,Tickling Charm
6587,Lumos Solem Spell
6587,Blasting Curse
6587,Snake Summons Spell
6600,Portus
6600,Human Presence Revealing Spell
6600,Spider repelling spell
6601,Repello Inimicum
6636,Cruciatus Curse
6636,Mending Charm
6642,Launch an object up into the air
6643,Severing Charm
6643,Reverse Spell
6643,Protego totalum
6647,Oppugno Jinx
6647,Memory Charm
6647,Slowing Charm
6652,Protego Maxima
6682,Memory Charm
6682,Engorgement Charm
6687,Protego totalum
6706,Boggart-Banishing Spell
6716,Lumos Maxima
6716,Locking Spell
6716,Severing Charm
6721,Episkey
6721,Wand-Lighting Charm
6721,Launch an object up into the air
6739,Revelio Charm
6739,Boggart-Banishing Spell
6753,Snake Summons Spell
6754,Snake Summons Spell
6757,Blasting Curse
6757,Locking Spell
6759,Protego totalum
6759,Full Body-Bind Curse
6770,Protego Maxima
6836,Full Body-Bind Curse
6836,Stunning Spell
6836,Revelio Charm
6849,Launch an object up into the air
6883,Leg-Locker Curse
6903,Cruciatus Curse
6903,Wand-Lighting Charm
6903,Exploding Charm
6906,Wand-Extinguishing Charm
6906,Snake Summons Spell
6906,Vera Verto
6919,General Counter-Spell
6919,Disarming Charm
6919,Salvio hexia
6979,Leg-Locker Curse
6997,Unlocking Charm
7037,Muggle-Repelling Charm
7037,Water-Making Spell
7041,Portus
7041,Lumos Solem Spell
7041,Cruciatus Curse
7074,Spider repelling spell
7074,Impediment Jinx
7081,Severing Charm
7081,Salvio hexia
7089,Stunning Spell
7095,Stunning Spell
7095,Tickling Charm
7095,Oculus Reparo
7101,Vera Verto
7101,Slowing Charm
7117,Cistem Aperio
7128,Muggle-Repelling Charm
7128,Stunning Spell
7128,Mending Charm
7135,Repello Inimicum
7135,Shield Charm
7160,Launch an object up into the air
7160,Full Body-Bind Curse
7160,Human Presence Revealing Spell
7167,General Counter-Spell
7167,Shrinking Charm
7194,Full Body-Bind Curse
7194,Expulso Curse
7194,Shrinking Charm
7205,Vera Verto
7208,Human Presence Revealing Spell
7218,Imperius Curse
7243,Memory Charm
7243,Reverse Spell
7260,Shield Charm
7260,Piertotum Locomotor
7261,Fire-Making Spell
7261,Lumos Maxima
7277,Blasting Curse
7314,Oppugno Jinx
7314,Muffliato Charm
7327,Spider repelling spell
7327,Mending Charm
7327,Peskipiksi Pesternomi
7344,Sectumsempra
7344,Disarming Charm
7344,Full Body-Bind Curse
7377,Cistem Aperio
7378,Cruciatus Curse
7378,Wand-Lighting Charm
7382,Human Presence Revealing Spell
7382,Tickling Charm
7382,Blasting Curse
7393,Revulsion Jinx
7393,Blasting Curse
7396,Revulsion Jinx
7396,Oppugno Jinx
7396,Lumos Maxima
7401,Patronus Charm
7401,Full Body-Bind Curse
7401,Exploding Charm
7418,Exploding Charm
7418,Brackium Emendo
7418,Spider repelling spell
7422,Mending Charm
7422,Revulsion Jinx
7422,Water-Making Spell
7424,Shrinking Charm
7426,Disarming Charm
7426,Unlocking Charm
7452,Cruciatus Curse
7457,Incarcerous Spell
7457,Killing Curse
7457,Muggle-Repelling Charm
7473,General Counter-Spell
7473,Snake Summons Spell
7473,Episkey
7476,Fire-Making Spell
7476,Levicorpus
7486,Lumos Solem Spell
7486,General Counter-Spell
7491,Wand-Extinguishing Charm
7491,Sectumsempra
7491,Imperius Curse
7497,Levicorpus
7497,Patronus Charm
7505,Disarming Charm
7505,Full Body-Bind Curse
7505,Water-Making Spell
7526,General Counter-Spell
7526,Shrinking Charm
7526,Levicorpus
7536,Expulso Curse
7536,Locomotion Charm
7563,Summoning Charm
7563,Oculus Reparo
7563,Expulso Curse
7565,Blasting Curse
7565,Lumos Solem Spell
7565,Leg-Locker Curse
7571,Snake Summons Spell
7589,Cistem Aperio
7589,Lumos Solem Spell
7590,Incarcerous Spell
7590,Disarming Charm
7590,Water-Making Spell
7613,Patronus Charm
7624,Cistem Aperio
7624,Water-Making Spell
7627,Revulsion Jinx
7627,Vera Verto
7640,Killing Curse
7640,Unlocking Charm
7648,Full Body-Bind Curse
7662,Snake Summons Spell
7662,Expulso Curse
7674,Severing Charm
7674,Wand-Lighting Charm
7674,General Counter-Spell
7720,Salvio hexia
7720,Blasting Curse
7739,Human Presence Revealing Spell
7739,Protego Maxima
7770,Snake-Vanishing Spell
7789,Wand-Lighting Charm
7789,Freezing Charm
7789,Lumos Maxima
7791,Locking Spell
7791,Wand-Extinguishing Charm
7791,Brackium Emendo
7793,Memory Charm
7793,Launch an object up into the air
7811,Spider repelling spell
7811,Leg-Locker Curse
7811,Shield Charm
7829,Peskipiksi Pesternomi
7833,Levicorpus
7833,Boggart-Banishing Spell
7833,Impediment Jinx
7851,Snake-Vanishing Spell
7851,Fire-Making Spell
7851,Peskipiksi Pesternomi
7857,Stunning Spell
7882,Impediment Jinx
7887,Wand-Lighting Charm
7927,Lumos Maxima
7927,Freezing Charm
7927,Salvio hexia
8005,Leg-Locker Curse
8005,Human Presence Revealing Spell
8005,Protego totalum
8007,Snake Summons Spell
8019,General Counter-Spell
8019,Cruciatus Curse
8026,Unlocking Charm
8027,Fire-Making Spell
8027,Severing Charm
8063,Locking Spell
8063,Wand-Extinguishing Charm
8081,Spider repelling spell
8081,Sectumsempra
8081,Boggart-Banishing Spell
8086,Memory Charm
8086,Boggart-Banishing Spell
8086,Wand-Extinguishing Charm
8093,Muggle-Repelling Charm
8093,Spider repelling spell
8093,Tickling Charm
8095,Patronus Charm
8116,Revelio Charm
8116,Piertotum Locomotor
8116,Reverse Spell
8133,Incarcerous Spell
8133,Stunning Spell
8233,Muffliato Charm
8233,Full Body-Bind Curse
8233,Repello Inimicum
8234,Vera Verto
8234,Human Presence Revealing Spell
8238,Episkey
8238,Tickling Charm
8267,Exploding Charm
8328,Engorgement Charm
8328,Severing Charm
8328,Memory Charm
8354,Muffliato Charm
8354,Imperius Curse
8354,Reverse Spell
8359,Memory Charm
8359,Spider repelling spell
8360,Snake-Vanishing Spell
8373,Snake Summons Spell
8373,Severing Charm
8373,Blasting Curse
8376,Water-Making Spell
8376,Muffliato Charm
8376,Dissendium
8377,Levitation Charm
8387,Lumos Maxima
8387,Episkey
8387,Piertotum Locomotor
8401,Cruciatus Curse
8401,Memory Charm
8405,Wand-Lighting Charm
8439,Locking Spell
8457,Muggle-Repelling Charm
8457,Stunning Spell
8463,Reverse Spell
8463,Freezing Charm
8470,Mending Charm
8495,Water-Making Spell
8502,Levitation Charm
8502,Protego totalum
8502,Dissendium
8512,Vera Verto
8512,Patronus Charm
8512,Killing Curse
8531,Muffliato Charm
8531,Slowing Charm
8546,Levicorpus
8546,Patronus Charm
8567,Oppugno Jinx
8567,Incarcerous Spell
8567,Revelio Charm
8580,Incarcerous Spell
8580,Wand-Extinguishing Charm
8580,Dissendium
8585,Wand-Lighting Charm
8585,Disarming Charm
8585,Locking Spell
8592,Spider repelling spell
8592,Vera Verto
8592,Snake-Vanishing Spell
8598,Lumos Maxima
8616,Engorgement Charm
8616,Mending Charm
8620,Portus
8638,Killing Curse
8642,General Counter-Spell
8642,Shield Charm
8654,Blasting Curse
8680,Shrinking Charm
8692,Snake-Vanishing Spell
8708,Wand-Lighting Charm
8711,Mending Charm
8712,Levitation Charm
8712,Mending Charm
8712,Human Presence Revealing Spell
8717,General Counter-Spell
8741,Expulso Curse
8741,Dissendium
8741,Full Body-Bind Curse
8745,Portus
8745,Imperius Curse
8745,Lumos Solem Spell
8760,Stunning Spell
8760,Revelio Charm
8765,Cistem Aperio
8776,Repello Inimicum
8776,Dissendium
8777,Episkey
8777,Portus
8780,Locking Spell
8780,Fire-Making Spell
8780,Episkey
8837,Engorgement Charm
8837,Launch an object up into the air
8837,Tickling Charm
8865,Salvio hexia
8865,Boggart-Banishing Spell
8865,Patronus Charm
8894,Wand-Lighting Charm
8894,Patronus Charm
8894,Cistem Aperio
8900,Vera Verto
8965,Wand-Extinguishing Charm
8965,Patronus Charm
8965,Oppugno Jinx
8972,Freezing Charm
8972,Muffliato Charm
8972,Expulso Curse
8979,General Counter-Spell
8979,Locking Spell
8979,Blasting Curse
9039,Portus
9039,Mending Charm
9041,Oculus Reparo
9065,Vera Verto
9065,Brackium Emendo
9065,Wand-Lighting Charm
9075,Repello Inimicum
