ЧЛВК_ИД,ТИП_ВОИНА,ПРЕДВОДИТЕЛЬ_ИД,ЗДОРОВЬЕ,БРОНЯ,ОРУЖИЕ
2093,WoodElf,None,96,91,65
2109,BoneDragon,None,64,90,13
2111,AzureDragon,None,21,15,1
2119,StormElemental,None,96,23,58
2124,Enchanter,None,65,1,71
2131,AncientBehemoth,None,97,61,29
2133,AirElemental,None,54,74,100
2146,Beholder,None,14,36,30
2178,Enchanter,None,71,34,100
2183,PitLord,None,56,52,100
2195,Skeleton,None,10,86,50
2212,Griffin,None,6,37,42
2218,EvilEye,None,83,99,10
2227,Hobgoblin,None,85,41,45
2248,AirElemental,None,100,14,8
2264,Basilisk,None,28,27,12
2287,GreaterBasilisk,None,16,37,83
2296,Archangel,None,54,43,63
2297,MightyGorgon,None,60,84,12
2306,Sprite,None,52,47,22
2320,EnergyElemental,None,47,90,81
2335,IronGolem,None,16,1,78
2338,NagaQueen,None,46,44,100
2347,Thunderbird,None,6,32,71
2400,MagicElemental,None,68,76,42
2422,Firebird,None,83,17,97
2424,CrystalDragon,None,55,86,45
2428,Familiar,None,14,1,28
2460,Manticore,None,39,97,66
2464,Sharpshooter,None,1,77,61
2484,Enchanter,None,31,26,89
2539,Gorgon,None,25,25,23
2541,GreaterBasilisk,None,61,81,13
2571,Champion,None,37,70,38
2579,ArchMage,None,83,1,53
2590,Gorgon,None,26,79,13
2597,Dwarf,None,18,22,61
2604,ArchMage,None,73,6,89
2606,SkeletonWarrior,None,46,70,13
2618,LizardWarrior,None,98,54,85
2627,Gorgon,None,80,5,21
2630,Efreet,None,7,64,73
2631,Sprite,None,30,99,47
2641,BlackDragon,None,31,10,18
2658,GrandElf,None,81,100,13
2662,Wyvern,None,95,97,12
2672,Beholder,None,25,10,7
2681,Gorgon,None,36,46,50
2692,Crusader,None,15,32,96
2700,LizardWarrior,None,40,78,91
2704,Sprite,None,10,25,9
2714,Sprite,None,31,61,20
2729,Archer,None,87,80,7
2736,LizardWarrior,None,86,28,24
2766,Cavalier,None,30,51,25
2771,Cerberus,None,24,55,50
2785,SkeletonWarrior,None,10,7,89
2819,Wraith,None,41,48,95
2822,Unicorn,None,13,47,76
2855,SkeletonWarrior,None,46,26,65
2869,ChaosHydra,None,33,45,78
2871,Centaur,None,97,21,95
2878,GoldGolem,None,3,72,36
2882,Halfling,None,31,38,82
2890,Wraith,None,95,53,31
2893,Vampire,None,35,18,74
2900,Pixie,None,3,96,31
2903,Monk,None,71,24,73
2917,Genie,None,8,55,88
2943,MasterGremlin,None,6,43,5
2965,Phoenix,None,46,72,30
2969,Dwarf,None,100,20,43
2986,WoodElf,None,64,30,35
2989,WolfRaider,None,39,30,96
3015,Lizardman,None,46,23,78
3023,GreenDragon,None,63,86,59
3045,MightyGorgon,None,9,100,1
3052,InfernalTroglodyte,None,65,59,91
3063,MagicElemental,None,17,52,64
3067,Giant,None,61,44,35
3077,WyvernMonarch,None,26,97,26
3115,Lich,None,62,40,63
3122,CyclopsKing,None,67,69,13
3136,GreenDragon,None,26,30,32
3151,HellHound,None,97,72,72
3155,CyclopsKing,None,53,19,39
3163,Pegasus,None,39,19,2
3165,BoneDragon,None,52,63,49
3177,Lich,None,52,6,74
3178,ArchDevil,None,91,81,45
3186,EnergyElemental,None,74,39,95
3223,ChaosHydra,None,48,99,37
3224,Archer,None,41,12,86
3225,EfreetSultan,None,9,64,54
3238,Pixie,None,44,21,33
3242,WyvernMonarch,None,90,72,40
3275,WolfRider,None,35,31,27
3303,Thunderbird,None,55,34,81
3308,Efreet,None,73,16,89
3313,DiamondGolem,None,12,74,70
3327,Gnoll,None,16,93,38
3328,RoyalGriffin,None,99,80,29
3331,Goblin,None,51,53,32
3344,Mummy,None,21,39,79
3353,Angel,None,55,17,13
3355,Wraith,None,33,22,65
3360,Pegasus,None,67,21,87
3373,WalkingDead,None,80,93,71
3375,ArchMage,None,84,71,51
3396,WalkingDead,None,38,57,19
3399,RustDragon,None,39,19,2
3401,Ogre,None,78,38,7
3406,OgreMage,None,64,53,23
3419,MedusaQueen,None,20,26,88
3423,Firebird,None,74,24,41
3427,Giant,None,65,46,79
3436,IceElemental,None,14,6,13
3440,Magog,None,84,45,86
3443,Sprite,None,99,5,59
3460,StoneGargoyle,None,94,11,77
3463,WyvernMonarch,None,64,96,99
3481,EfreetSultan,None,20,9,20
3482,Boar,None,74,41,81
3493,AncientBehemoth,None,74,38,73
3496,Hydra,None,92,19,85
3545,MedusaQueen,None,90,69,79
3561,Giant,None,45,61,24
3576,WolfRider,None,100,84,41
3588,MagicElemental,None,37,55,40
3618,AncientBehemoth,None,22,10,54
3622,Minotaur,None,87,91,44
3639,Minotaur,None,67,23,70
3642,Lich,None,88,58,71
3657,Halberdier,None,51,19,62
3658,BoneDragon,None,90,64,95
3668,CentaurCaptain,None,2,99,20
3711,Rogue,None,72,14,95
3753,Wraith,None,81,90,33
3756,FireElemental,None,77,26,77
3762,EarthElemental,None,45,73,55
3785,WolfRaider,None,42,40,46
3796,FaerieDragon,None,100,3,10
3802,BlackKnight,None,9,19,55
3808,Zealot,None,15,44,100
3825,InfernalTroglodyte,None,52,62,55
3827,Lich,None,12,70,4
3831,EfreetSultan,None,12,89,60
3845,Familiar,None,100,96,28
3853,Naga,None,97,52,32
3858,Rogue,None,16,65,90
3862,Cerberus,None,88,29,38
3865,Orc,None,41,22,20
3868,WarUnicorn,None,58,56,4
3872,ObsidianGargoyle,None,8,11,44
3874,AncientBehemoth,None,96,22,80
3884,Sharpshooter,None,48,54,72
3886,WolfRaider,None,87,82,90
3906,AirElemental,None,34,26,24
3917,Unicorn,None,34,94,38
3927,GhostDragon,None,47,48,70
3932,ChaosHydra,None,10,72,71
3940,Orc,None,45,42,39
3942,Behemoth,None,10,37,46
3944,DendroidGuard,None,58,18,78
3962,EfreetSultan,None,8,85,79
3979,ArchDevil,None,81,90,90
4013,MasterGremlin,None,53,73,7
4015,Lizardman,None,54,79,59
4030,Nomad,None,72,48,87
4031,Scorpicore,None,90,80,74
4036,Sprite,None,53,73,14
4045,StoneGargoyle,None,61,79,25
4047,Thunderbird,None,26,13,9
4064,Efreet,None,80,73,11
4080,Rogue,None,44,5,55
4081,RoyalGriffin,None,43,75,20
4096,OrcChieftain,None,83,1,81
4119,Monk,None,61,85,86
4138,Gog,None,80,7,63
4148,ChaosHydra,None,1,39,5
4171,MagmaElemental,None,16,44,82
4181,AzureDragon,None,16,9,99
4185,Imp,None,21,32,17
4186,Wraith,None,24,63,27
4206,Cavalier,None,3,76,2
4210,IceElemental,None,99,30,62
4215,DragonFly,None,49,77,85
4223,ArchMage,None,13,99,86
4226,Magog,None,68,66,19
4234,Pixie,None,26,64,23
4238,Phoenix,None,66,20,40
4244,WarUnicorn,None,48,25,20
4253,Archangel,None,5,5,6
4254,GrandElf,None,13,14,72
4279,Roc,None,19,79,19
4294,Familiar,None,79,8,58
4298,PsychicElemental,None,62,28,83
4314,Lich,None,53,55,50
4323,HarpyHag,None,73,17,27
4336,IronGolem,None,82,65,67
4364,Gorgon,None,61,89,13
4409,Sprite,None,70,7,38
4415,Marksman,None,25,93,53
4419,OrcChieftain,None,20,31,74
4441,PitLord,None,90,15,60
4447,Hobgoblin,None,21,77,40
4456,Wight,None,58,3,63
4462,Thunderbird,None,30,94,44
4473,HellHound,None,5,55,11
4487,Cyclops,None,46,50,9
4499,Vampire,None,41,55,41
4504,Behemoth,None,49,33,18
4509,Goblin,None,74,92,95
4512,Giant,None,59,88,73
4531,Medusa,None,56,50,66
4534,RustDragon,None,20,50,48
4536,Cerberus,None,52,11,77
4557,Mage,None,85,18,48
4562,Vampire,None,24,21,90
4571,WaterElemental,None,57,18,58
4586,Roc,None,1,76,25
4587,Phoenix,None,44,58,23
4599,FaerieDragon,None,23,1,30
4601,Cerberus,None,22,41,75
4627,Pegasus,None,60,59,81
4628,Dwarf,None,52,56,21
4641,BoneDragon,None,53,10,41
4669,Champion,None,30,98,18
4672,Pixie,None,4,26,82
4717,Angel,None,37,48,31
4719,MightyGorgon,None,72,99,11
4729,StoneGargoyle,None,47,41,93
4738,FireElemental,None,76,7,61
4747,IronGolem,None,72,59,32
4754,MagicElemental,None,97,82,29
4764,Lizardman,None,50,26,95
4768,StoneGargoyle,None,56,37,29
4820,PitFiend,None,51,38,13
4825,Goblin,None,10,45,51
4830,Firebird,None,44,2,55
4840,Giant,None,86,13,7
4845,Pegasus,None,1,59,69
4871,Wyvern,None,39,94,30
4880,InfernalTroglodyte,None,31,91,51
4883,OrcChieftain,None,30,33,10
4924,StoneGolem,None,31,74,85
4939,Archer,None,27,4,75
4951,Harpy,None,79,93,56
4958,Lizardman,None,85,72,49
4959,DiamondGolem,None,16,79,60
4977,PowerLich,None,26,99,53
4978,BlackKnight,None,68,66,73
4983,IronGolem,None,11,56,11
4994,IronGolem,None,61,85,28
5012,Zealot,None,90,82,76
5019,MagmaElemental,None,63,4,98
5021,GrandElf,None,23,5,83
5036,CrystalDragon,None,49,24,24
5043,Medusa,None,39,67,47
5052,Cavalier,None,71,63,26
5072,Gog,None,36,93,42
5088,PowerLich,None,48,37,83
5103,Lizardman,None,72,79,35
5105,Lizardman,None,38,85,75
5106,Skeleton,None,67,5,7
5107,Pikeman,None,55,78,32
5124,Scorpicore,None,1,100,5
5129,MasterGremlin,None,20,27,64
5139,Mage,None,73,68,84
5152,Medusa,None,100,36,10
5168,GoldGolem,None,81,86,78
5170,DreadKnight,None,30,6,45
5192,Devil,None,98,12,64
5212,Zombie,None,18,30,93
5225,RoyalGriffin,None,60,79,34
5230,CrystalDragon,None,14,64,38
5234,Pikeman,None,22,63,28
5250,EnergyElemental,None,48,69,80
5258,Halfling,None,52,66,59
5263,Wyvern,None,95,57,74
5301,RedDragon,None,67,97,23
5308,Enchanter,None,68,79,4
5329,SerpentFly,None,26,53,20
5332,Wraith,None,82,29,15
5337,RustDragon,None,100,33,69
5338,SerpentFly,None,34,85,4
5340,Peasant,None,55,11,29
5345,Roc,None,20,81,46
5354,BoneDragon,None,10,24,35
5369,WaterElemental,None,32,57,29
5373,Gnoll,None,12,50,67
5379,Firebird,None,15,19,83
5380,Gremlin,None,45,11,70
5413,Angel,None,57,37,27
5436,GoldDragon,None,29,52,3
5444,Devil,None,60,79,60
5445,Cyclops,None,22,47,45
5460,Sprite,None,97,68,47
5466,PowerLich,None,98,2,47
5478,Gnoll,None,18,35,34
5488,Boar,None,67,74,7
5493,Titan,None,98,59,94
5498,Demon,None,74,61,14
5501,Demon,None,12,100,37
5503,Pikeman,None,18,89,35
5504,EnergyElemental,None,42,11,49
5506,Efreet,None,61,44,90
5521,EnergyElemental,None,95,64,92
5524,WoodElf,None,15,68,1
5529,PitFiend,None,34,26,90
5534,MagicElemental,None,26,8,90
5537,NagaQueen,None,32,96,90
5543,Thunderbird,None,18,92,25
5550,BattleDwarf,None,92,89,75
5553,Champion,None,26,64,7
5559,Gog,None,5,90,28
5567,LizardWarrior,None,36,73,55
5572,Troll,None,64,31,34
5577,AncientBehemoth,None,96,63,37
5591,ArchMage,None,84,22,89
5595,Champion,None,30,1,15
5635,RustDragon,None,1,41,73
5660,EarthElemental,None,17,83,17
5675,Peasant,None,40,12,25
5688,IceElemental,None,7,36,72
5693,WaterElemental,None,80,6,71
5703,FaerieDragon,None,67,45,99
5748,Genie,None,21,51,78
5750,Cyclops,None,50,30,75
5768,Gremlin,None,32,13,32
5769,DendroidGuard,None,30,92,30
5770,Lizardman,None,99,43,89
5771,Efreet,None,9,34,43
5781,GnollMarauder,None,39,37,26
5785,Imp,None,4,17,3
5788,ChaosHydra,None,64,12,72
5789,Thunderbird,None,46,94,91
5793,Cerberus,None,70,52,51
5795,Gremlin,None,70,55,64
5803,Giant,None,78,41,30
5865,OgreMage,None,74,81,95
5883,EvilEye,None,45,41,86
5900,Wraith,None,5,23,44
5919,Boar,None,14,50,52
5924,EvilEye,None,7,93,51
5928,Troglodyte,None,43,49,49
5932,Skeleton,None,84,84,76
5936,AncientBehemoth,None,37,41,69
5947,Sprite,None,29,32,33
5954,WalkingDead,None,45,68,13
5974,Skeleton,None,28,1,61
5977,Mage,None,11,19,82
6000,Minotaur,None,95,31,81
6012,MasterGremlin,None,26,47,92
6022,Gnoll,None,30,1,73
6051,AirElemental,None,32,10,41
6068,Titan,None,1,24,46
6085,DragonFly,None,66,28,87
6087,WalkingDead,None,22,17,3
6129,CyclopsKing,None,98,85,100
6138,Basilisk,None,25,4,82
6164,WyvernMonarch,None,26,89,77
6171,DendroidGuard,None,93,14,27
6178,Halberdier,None,15,41,71
6179,Hobgoblin,None,86,22,44
6205,Gog,None,45,96,20
6216,Thunderbird,None,93,93,72
6220,Gog,None,62,93,61
6228,Roc,None,1,49,66
6230,Wyvern,None,99,63,31
6286,WolfRider,None,20,95,78
6304,Mage,None,41,61,77
6305,Hydra,None,86,74,22
6318,Gog,None,92,93,78
6354,Roc,None,55,67,25
6363,MasterGenie,None,94,17,42
6371,IceElemental,None,80,60,9
6386,Wraith,None,76,27,6
6434,Pixie,None,26,99,29
6447,Enchanter,None,4,64,79
6448,Sprite,None,70,25,78
6451,RedDragon,None,96,85,53
6462,RoyalGriffin,None,80,99,30
6467,WolfRaider,None,95,18,87
6472,RedDragon,None,95,2,21
6492,Halfling,None,69,90,60
6511,MinotaurKing,None,99,3,70
6533,FireElemental,None,65,48,94
6551,DragonFly,None,7,53,26
6561,Archer,None,60,21,67
6566,ArchDevil,None,7,46,78
6573,MasterGenie,None,70,24,87
6587,HarpyHag,None,79,98,82
6600,Pixie,None,80,57,1
6601,EnergyElemental,None,44,44,84
6607,Gnoll,None,95,55,44
6620,GhostDragon,None,37,76,44
6625,Hobgoblin,None,85,32,95
6636,Titan,None,48,15,36
6642,Pixie,None,95,35,36
6643,Mage,None,44,74,59
6647,MinotaurKing,None,79,67,10
6648,Dwarf,None,15,12,59
6652,Champion,None,92,68,70
6682,Archangel,None,48,87,33
6687,SkeletonWarrior,None,25,73,5
6706,Mummy,None,39,82,14
6716,Behemoth,None,84,93,64
6717,Mage,None,87,20,21
6721,EnergyElemental,None,85,87,58
6739,MasterGremlin,None,92,39,85
6753,Mage,None,78,64,6
6754,Halfling,None,43,64,2
6757,Sprite,None,46,26,18
6759,LizardWarrior,None,95,96,1
6770,WaterElemental,None,17,37,48
6830,Imp,None,10,10,77
6836,GnollMarauder,None,43,65,40
6849,Lizardman,None,89,17,58
6883,NagaQueen,None,22,51,62
6900,Mage,None,78,46,76
6903,MedusaQueen,None,1,43,32
6906,BoneDragon,None,50,62,3
6919,ChaosHydra,None,53,90,49
6940,BoneDragon,None,38,70,59
6979,WolfRider,None,58,71,45
6987,Swordsman,None,77,27,13
6997,Nomad,None,61,57,38
7037,SkeletonWarrior,None,34,21,8
7041,Pixie,None,17,86,81
7062,ArchDevil,None,13,10,67
7074,ArchDevil,None,48,93,8
7081,Unicorn,None,92,78,76
7082,RustDragon,None,78,77,8
7089,ObsidianGargoyle,None,31,82,73
7095,BlackDragon,None,78,18,36
7101,AzureDragon,None,65,23,27
7115,HarpyHag,None,78,89,22
7117,Behemoth,None,81,71,8
7128,Griffin,None,64,92,69
7135,Scorpicore,None,49,31,4
7160,PsychicElemental,None,18,38,99
7167,Boar,None,80,87,89
7194,HellHound,None,39,2,63
7205,MasterGenie,None,98,39,79
7208,Crusader,None,61,63,5
7218,EnergyElemental,None,36,60,67
7243,EarthElemental,None,98,86,1
7260,Swordsman,None,34,63,90
7261,Sharpshooter,None,54,30,34
7277,Archer,None,96,42,90
7314,Orc,None,8,29,15
7321,MedusaQueen,None,43,34,54
7327,Boar,None,93,91,61
7329,BlackDragon,None,85,100,59
7344,Troll,None,42,32,87
7377,Imp,None,29,14,23
7378,OgreMage,None,47,78,86
7381,Monk,None,36,35,41
7382,Naga,None,65,20,86
7393,Magog,None,33,97,65
7396,Boar,None,24,86,49
7401,CyclopsKing,None,76,33,14
7415,Pegasus,None,75,50,43
7418,Lich,None,23,30,83
7422,Efreet,None,8,58,45
7424,AncientBehemoth,None,27,86,72
7426,Rogue,None,62,14,54
7452,Zealot,None,71,91,8
7457,Gog,None,32,13,55
7460,Champion,None,7,84,90
7464,EfreetSultan,None,84,10,29
7473,GhostDragon,None,68,19,53
7476,RedDragon,None,31,4,19
7486,Boar,None,93,43,34
7491,GreenDragon,None,93,16,89
7497,ObsidianGargoyle,None,81,93,46
7505,Centaur,None,88,39,35
7526,SkeletonWarrior,None,69,18,27
7536,Lizardman,None,49,8,77
7552,Orc,None,13,19,75
7562,Mummy,None,26,55,33
7563,ChaosHydra,None,57,64,17
7565,Archer,None,92,91,22
7571,Medusa,None,89,29,56
7589,ObsidianGargoyle,None,44,37,62
7590,Halfling,None,47,13,20
7613,DreadKnight,None,74,11,45
7624,OgreMage,None,81,14,59
7627,Pegasus,None,88,18,60
7640,RoyalGriffin,None,69,6,67
7647,Orc,None,88,96,27
7648,Gnoll,None,76,15,66
7662,ArchDevil,None,12,63,10
7674,Minotaur,None,46,21,66
7708,HellHound,None,5,39,5
7720,VampireLord,None,85,26,31
7730,FireElemental,None,75,26,68
7739,BoneDragon,None,5,34,26
7770,GoldDragon,None,90,7,58
7789,Titan,None,80,10,98
7791,Cavalier,None,25,52,3
7793,Hydra,None,99,52,22
7811,Gnoll,None,71,84,31
7829,Demon,None,10,89,73
7833,Dwarf,None,100,98,33
7851,Swordsman,None,59,12,7
7857,RustDragon,None,21,40,9
7860,Mage,None,83,87,17
7882,Wraith,None,4,38,36
7887,StoneGolem,None,29,11,38
7892,Unicorn,None,29,41,3
7919,IronGolem,None,81,32,34
7927,Griffin,None,7,46,54
7934,WyvernMonarch,None,32,56,26
7953,Wight,None,78,28,18
8005,SerpentFly,None,54,77,76
8007,CrystalDragon,None,57,59,83
8014,WoodElf,None,44,95,50
8019,Beholder,None,18,75,24
8026,Scorpicore,None,22,62,69
8027,SerpentFly,None,65,19,67
8063,GreaterBasilisk,None,75,61,8
8081,MagicElemental,None,45,99,1
8086,GoldDragon,None,4,43,67
8088,FireElemental,None,66,38,78
8093,Griffin,None,14,93,5
8095,RustDragon,None,71,97,70
8116,Hobgoblin,None,70,36,33
8124,SilverPegasus,None,6,45,81
8128,Zealot,None,17,34,51
8133,MagmaElemental,None,38,43,62
8148,HarpyHag,None,19,86,62
8160,Unicorn,None,86,60,77
8190,Peasant,None,31,83,98
8199,StormElemental,None,91,26,36
8203,WolfRaider,None,41,64,73
8224,AirElemental,None,25,82,86
8233,WolfRaider,None,44,13,24
8234,Archer,None,18,82,4
8238,GrandElf,None,92,16,69
8267,Cavalier,None,88,8,47
8287,Swordsman,None,63,30,90
8328,DendroidGuard,None,22,77,27
8351,ArchMage,None,89,17,59
8354,Halfling,None,51,48,53
8359,Champion,None,11,25,52
8360,Sharpshooter,None,21,80,34
8373,Marksman,None,43,98,30
8376,Pikeman,None,59,46,73
8377,Hobgoblin,None,52,87,81
8387,ChaosHydra,None,57,69,51
8401,MagicElemental,None,42,56,63
8405,Vampire,None,37,45,33
8425,Wyvern,None,50,93,75
8430,StormElemental,None,64,79,81
8439,HornedDemon,None,46,78,55
8452,WoodElf,None,77,8,34
8455,BattleDwarf,None,33,58,79
8457,GhostDragon,None,89,76,66
8463,EnergyElemental,None,23,7,74
8469,Lizardman,None,51,46,21
8470,Monk,None,55,51,61
8495,Ogre,None,32,87,87
8498,Gremlin,None,8,39,35
8502,EarthElemental,None,1,97,47
8512,OrcChieftain,None,62,84,12
8531,Rogue,None,56,65,58
8546,LizardWarrior,None,27,16,95
8567,PitLord,None,55,4,8
8568,Dwarf,None,60,7,38
8580,BattleDwarf,None,91,34,87
8585,Efreet,None,23,80,11
8592,RedDragon,None,87,40,56
8598,Harpy,None,67,50,25
8612,AzureDragon,None,29,34,64
8616,GoldGolem,None,23,37,31
8620,CentaurCaptain,None,51,33,85
8638,ChaosHydra,None,93,27,61
8642,OrcChieftain,None,84,75,32
8654,Monk,None,49,1,81
8656,AncientBehemoth,None,67,42,48
8666,InfernalTroglodyte,None,92,49,16
8680,Harpy,None,44,73,55
8687,DragonFly,None,17,94,47
8692,WolfRider,None,98,40,77
8708,Gog,None,99,84,41
8711,MightyGorgon,None,74,99,59
8712,EarthElemental,None,86,77,27
8717,DendroidSoldier,None,75,27,15
8738,Pikeman,None,99,61,45
8741,Monk,None,53,43,20
8745,Cyclops,None,6,84,16
8749,AirElemental,None,86,22,91
8760,Devil,None,83,66,17
8763,Swordsman,None,54,50,26
8765,Lizardman,None,45,82,74
8771,RustDragon,None,99,89,74
8776,Gremlin,None,30,36,23
8777,Cavalier,None,61,41,62
8780,HarpyHag,None,73,17,97
8793,Medusa,None,53,22,18
8817,Unicorn,None,45,59,21
8837,Cyclops,None,73,44,42
8865,AirElemental,None,14,15,92
8894,Unicorn,None,24,7,25
8900,Goblin,None,21,41,75
8965,WarUnicorn,None,80,15,88
8972,GreaterBasilisk,None,23,37,7
8979,FaerieDragon,None,47,97,37
9039,DendroidGuard,None,26,29,58
9041,CentaurCaptain,None,96,69,57
9061,Titan,None,34,15,22
9065,Sharpshooter,None,29,22,7
9074,HarpyHag,None,20,87,81
9075,DreadKnight,None,51,43,23
9080,Archer,None,94,3,66
9084,BoneDragon,None,4,62,24
9087,HarpyHag,None,88,25,31
