ИД,Страна,Город,Широта,Долгота
75,BR,Sao_Paulo, -25.42944, -50.00639
76,US,Chicago, 41.8542, -87.66561
77,GB,London, 51.78967, 1.15597
78,BJ,Porto-Novo, 8.88649, 2.59753
79,DE,Berlin, 52.61131, 13.31783
80,DE,Berlin, 52.47774, 10.5511
81,CN,Shanghai, 45.75279, 130.57211
82,IT,Rome, 38.07789, 13.44275
83,GH,Accra, 7.06273, -1.4001
84,DE,Berlin, 49.5099, 6.74549
85,MN,Ulaanbaatar, 47.90771, 106.88324
86,GB,London, 53.83333, -2.98333
87,GB,London, 50.75767, -1.5443
88,CN,Shanghai, 31.64615, 120.74221
89,US,Chicago, 41.72059, -87.70172
90,BD,Dhaka, 23.9028, 89.11943
91,PH,Manila, 8.56697, 123.33471
92,US,New_York, 40.60538, -73.75513
93,JP,Tokyo, 39.46667, 141.95
94,IN,Kolkata, 23.49668, 86.68363
95,IN,Kolkata, 18.87813, 72.93924
96,LT,Vilnius, 54.39635, 24.04142
97,CN,Shanghai, 46.08333, 122.08333
98,US,Los_Angeles, 47.38093, -122.23484
99,RU,Moscow, 53.53395, 33.72798
100,RU,Yekaterinburg, 54.48147, 53.47103
101,GB,London, 53.7446, -0.33525
102,GH,Accra, 5.30383, -1.98956
103,US,New_York, 27.09978, -82.45426
104,PH,Manila, 9.6531, 124.3697
105,FR,Paris, 48.77644, 2.29026
106,MX,Matamoros, 25.87972, -97.50417
107,FR,Paris, 48.79325, 2.29275
108,TN,Tunis, 35.72917, 10.58082
109,IT,Rome, 40.87329, 14.43865
110,IN,Kolkata, 22.10194, 85.37752
111,ES,Madrid, 43.32686, -2.98884
112,CO,Bogota, 10.98778, -74.95472
113,DE,Berlin, 52.4581, 13.28702
114,US,New_York, 41.66394, -83.55521
115,IQ,Baghdad, 32.61603, 44.02488
116,IT,Rome, 41.72063, 12.6723
117,US,Los_Angeles, 44.99012, -123.02621
118,RU,Moscow, 55.38752, 36.73307
119,RU,Moscow, 43.96222, 43.63417
120,RU,Moscow, 61.78491, 34.34691
121,FR,Paris, 48.77275, 5.16108
122,CO,Bogota, 7.83389, -72.47417
123,IN,Kolkata, 19.30157, 72.85107
124,US,New_York, 43.16547, -77.70066
125,PH,Manila, 14.95472, 120.89694
126,US,New_York, 40.5576, -74.28459
127,GB,London, 50.11861, -5.53715
128,MX,Mexico_City, 20.21322, -100.88023
129,US,Chicago, 47.92526, -97.03285
130,CO,Bogota, 5.6561, -75.87877
131,US,New_York, 41.0051, -73.78458
132,RU,Yekaterinburg, 60.97944, 76.92421
133,IN,Kolkata, 26.32293, 91.00632
134,IN,Kolkata, 26.32293, 91.00632
135,CZ,Prague, 49.952431, 15.268654
136,US,Los_Angeles, 37.73604, -120.93549
137,IN,Kolkata, 26.11527, 86.59509
138,US,Los_Angeles, 33.93113, -117.54866
139,FR,Paris, 41.91886, 8.73812
140,US,New_York, 40.93121, -73.89875
141,NG,Lagos, 12.74482, 4.52514
142,BR,Sao_Paulo, -26.22861, -52.67056
143,JP,Tokyo, 39.46667, 141.95
144,US,Menominee, 46.09273, -88.64235
145,SE,Stockholm, 59.33333, 18.28333
146,ES,Madrid, 38.96667, -0.18333
147,DE,Berlin, 49.97704, 9.15214
148,BY,Minsk, 55.1904, 30.2049
149,PK,Karachi, 27.52948, 68.75915
150,FR,Paris, 48.77275, 5.16108
151,US,Detroit, 42.30865, -83.48216
152,IL,Jerusalem, 31.92923, 34.86563
153,HT,Port-au-Prince, 18.57677, -72.22625
154,US,New_York, 43.91452, -69.96533
155,IT,Rome, 44.89784, 8.86374
156,KZ,Aqtobe, 47.83333, 59.6
157,BR,Sao_Paulo, -17.74431, -48.62789
158,MX,Merida, 21.28306, -89.66123
159,MD,Chisinau, 48.15659, 28.28489
160,GB,London, 51.65, -0.2
161,IN,Kolkata, 14.46693, 75.92694
162,ID,Jakarta, -6.48167, 106.85417
163,CN,Urumqi, 46.51872, 86.00214
164,PA,Panama, 9.15093, -79.62098
165,US,New_York, 43.1009, -75.23266
166,MX,Mazatlan, 22.49396, -105.36369
167,MY,Kuala_Lumpur, 1.6561, 103.6032
168,US,Phoenix, 33.35283, -111.78903
169,FR,Paris, 43.61058, 1.33467
170,IN,Kolkata, 24.05979, 77.40858
171,TH,Bangkok, 14.37395, 100.48528
172,MZ,Maputo, -23.85972, 35.34722
173,IN,Kolkata, 15.5439, 73.7553
174,RU,Samara, 53.37596, 51.3452
175,US,New_York, 26.68451, -80.66756
176,JP,Tokyo, 39.46667, 141.95
177,CN,Shanghai, 38.40917, 112.73333
178,PT,Lisbon, 38.72706, -9.24671
179,PK,Karachi, 27.55898, 68.21204
180,JP,Tokyo, 37.56667, 140.11667
181,AU,Perth, -32.05251, 115.88782
182,DO,Santo_Domingo, 18.20854, -71.10077
183,BG,Sofia, 41.57439, 24.71204
184,US,Chicago, 40.56754, -89.64066
185,EG,Cairo, 31.20176, 29.91582
186,IN,Kolkata, 11.50526, 77.23826
187,PL,Warsaw, 50.20528, 19.27498
188,US,Chicago, 44.73941, -93.12577
189,PK,Karachi, 26.9423, 68.11759
190,CI,Abidjan, 5.27247, -3.59625
191,US,New_York, 41.14676, -73.49484
192,GB,London, 50.79205, -1.08593
193,CN,Shanghai, 36.19278, 117.65694
194,BR,Sao_Paulo, -20.87306, -48.29694
195,US,New_York, 33.08014, -83.2321
196,US,New_York, 40.82232, -74.15987
197,TH,Bangkok, 6.25947, 102.05461
198,DE,Berlin, 49.97704, 9.15214
199,IQ,Baghdad, 32.61603, 44.02488
200,BR,Sao_Paulo, -17.74431, -48.62789
201,US,Chicago, 42.24113, -88.3162
202,PL,Warsaw, 50.86079, 17.4674
203,CN,Shanghai, 29.98869, 122.20488
204,ES,Madrid, 40.70995, 0.57856
205,UA,Kiev, 49.65186, 26.97253
206,US,Chicago, 30.5427, -97.54667
207,BR,Santarem, -3.20333, -52.20639
208,IT,Rome, 40.92298, 14.30935
209,KZ,Qyzylorda, 44.85278, 65.50917
210,US,Los_Angeles, 45.49428, -122.86705
211,GB,London, 50.76306, -1.29772
212,US,Chicago, 41.57721, -93.71133
213,JP,Tokyo, 36.24624, 139.07204
214,FR,Paris, 43.61092, 3.87723
215,DE,Berlin, 52.86147, 9.5926
216,ID,Jakarta, -7.57897, 112.23109
217,BR,Maceio, -10.91722, -37.65
218,CN,Shanghai, 32.50611, 120.14278
219,PH,Manila, 10.31672, 123.89071
220,US,Los_Angeles, 33.52253, -117.70755
221,CU,Havana, 20.14298, -77.43532
222,CO,Bogota, 10.15031, -73.9614
223,DZ,Algiers, 36.27462, 4.85668
224,TH,Bangkok, 13.51825, 99.95469
225,US,Denver, 39.72943, -104.83192
226,ES,Madrid, 40.42386, -3.53261
227,ZA,Johannesburg, -24.19436, 29.00974
228,IN,Kolkata, 17.34769, 78.55757
229,JP,Tokyo, 41.77583, 140.73667
230,US,Chicago, 45.0408, -93.263
231,FR,Paris, 43.61092, 3.87723
232,IN,Kolkata, 11.50526, 77.23826
233,US,New_York, 27.09978, -82.45426
234,US,New_York, 39.32288, -76.72803
235,IT,Rome, 45.44694, 8.62118
236,US,New_York, 42.52787, -70.92866
237,RU,Moscow, 53.95278, 32.86389
238,GB,London, 51.40148, -1.32471
239,FR,Paris, 48.86667, 2.08333
240,IT,Rome, 44.59445, 11.04979
241,US,New_York, 40.67705, -73.89125
242,CA,Toronto, 45.44868, -73.81669
243,IN,Kolkata, 26.44931, 91.61356
244,ES,Madrid, 38.47917, -1.325
245,GB,London, 52.66277, -2.01111
246,MQ,Martinique, 14.67751, -60.94228
247,PK,Karachi, 25.80565, 68.49143
248,NL,Amsterdam, 53.16167, 6.76111
249,ID,Jakarta, -7.51611, 109.05389
250,IN,Kolkata, 24.05979, 77.40858
251,US,Los_Angeles, 33.7207, -116.21677
252,BR,Sao_Paulo, -22.45667, -47.53028
253,DE,Berlin, 50.64336, 7.2278
254,PR,Puerto_Rico, 18.03496, -66.8499
255,US,New_York, 33.08014, -83.2321
256,PH,Manila, 12.35275, 121.06761
257,US,New_York, 40.72371, -73.95097
258,PH,Manila, 16.455, 120.5875
259,CZ,Prague, 48.812737, 14.317466
260,FR,Paris, 45.51667, 4.86667
261,GB,London, 51.64316, -0.36053
262,IN,Kolkata, 11.93381, 79.82979
263,BE,Brussels, 50.8, 3.16667
264,RU,Moscow, 58.1908, 40.17171
265,CN,Shanghai, 28.88162, 120.03308
266,IT,Rome, 42.22718, 14.39024
267,AR,Argentina, -54.8, -68.3
268,GB,London, 50.79205, -1.08593
269,CN,Shanghai, 23.02677, 113.13148
270,US,New_York, 40.94065, -73.99681
271,IN,Kolkata, 26.76628, 83.36889
272,PE,Lima, -3.74912, -73.25383
273,PE,Lima, -16.25, -69.08333
274,KE,Nairobi, 3.11988, 35.59642
275,US,New_York, 39.43534, -84.20299
276,PT,Lisbon, 38.72706, -9.24671
277,FR,Paris, 48.90472, 2.2469
278,KR,Seoul, 36.82167, 128.63083
279,US,New_York, 41.48199, -81.79819
280,FR,Paris, 43.2907, 5.4384
281,JP,Tokyo, 33.3213, 130.94098
282,RU,Moscow, 55.85, 37.56667
283,US,Los_Angeles, 32.9156, -117.14392
284,CN,Shanghai, 37.73222, 115.70111
285,IN,Kolkata, 22.4711, 88.1453
286,CG,Brazzaville, -4.26613, 15.28318
287,DE,Berlin, 52.61131, 13.31783
288,EG,Cairo, 26.67319, 31.4976
289,DE,Berlin, 51.21667, 6.26667
290,BR,Sao_Paulo, -21.205, -41.88778
291,IN,Kolkata, 31.28092, 74.85849
292,MX,Mexico_City, 19.32932, -98.1664
293,CL,Santiago, -30.60106, -71.19901
294,KR,Seoul, 34.8825, 128.62667
295,CO,Bogota, 3.8801, -77.03116
296,RU,Moscow, 54.03876, 43.91385
297,PL,Warsaw, 51.14942, 15.00835
298,NL,Amsterdam, 52.71083, 5.74861
299,KZ,Qyzylorda, 44.85278, 65.50917
300,DE,Berlin, 53.94313, 10.30215
301,IN,Kolkata, 25.87498, 86.59611
302,TT,Port_of_Spain, 10.66668, -61.51889
303,PE,Lima, -11.94306, -76.70944
304,US,Chicago, 34.25807, -88.70464
305,CZ,Prague, 48.975658, 14.480255
306,CA,Toronto, 45.44868, -73.81669
307,US,Phoenix, 33.35283, -111.78903
308,ID,Jakarta, -6.8048, 110.8405
309,US,Chicago, 41.57721, -93.71133
310,NG,Lagos, 11.86064, 9.0027
311,RU,Yekaterinburg, 56.9083, 60.8019
312,AU,Sydney, -33.88096, 151.07986
313,US,Detroit, 42.30865, -83.48216
314,ML,Bamako, 12.74409, -8.07257
315,DZ,Algiers, 34.15429, 3.50309
316,BR,Sao_Paulo, -23.44361, -51.87389
317,ES,Madrid, 38.47917, -1.325
318,TH,Bangkok, 15.58552, 102.42587
319,US,Chicago, 42.24113, -88.3162
320,CF,Bangui, 4.94273, 15.87735
321,BR,Maceio, -10.91722, -37.65
322,RU,Yekaterinburg, 56.9083, 60.8019
323,IT,Rome, 41.72063, 12.6723
324,ID,Jakarta, 0.51667, 101.44167
325,CZ,Prague, 50.511002, 14.150558
326,KZ,Aqtobe, 47.83333, 59.6
327,PK,Karachi, 30.76468, 74.12286
328,CN,Shanghai, 41.09822, 120.74792
329,GB,London, 51.64316, -0.36053
330,US,New_York, 26.2173, -80.22588
331,JP,Tokyo, 37.56667, 140.11667
332,CN,Shanghai, 41.27194, 123.17306
333,CU,Havana, 23.0072, -82.4017
334,US,Chicago, 40.56754, -89.64066
335,PT,Lisbon, 38.72706, -9.24671
336,PH,Manila, 16.0438, 120.4861
337,US,Chicago, 42.24113, -88.3162
338,US,Chicago, 47.92526, -97.03285
339,DZ,Algiers, 36.06386, 4.62744
340,NL,Amsterdam, 51.44889, 5.51978
341,RU,Novokuznetsk, 55.8736, 85.4265
342,US,New_York, 40.24537, -75.64963
343,GB,London, 50.76306, -1.29772
344,ID,Jakarta, 3.7278, 98.6738
345,IN,Kolkata, 22.19303, 88.18466
346,FR,Paris, 41.91886, 8.73812
347,BR,Sao_Paulo, -19.72806, -50.19556
348,BR,Sao_Paulo, -28.44917, -52.2
349,CN,Shanghai, 30.24706, 115.04814
350,US,New_York, 41.54566, -71.29144
351,RU,Moscow, 54.90083, 38.07083
352,US,Chicago, 39.09112, -94.41551
353,CL,Santiago, -36.9256, -73.02841
354,FR,Paris, 48.98333, 2.61667
355,RU,Moscow, 60.02427, 30.28491
356,PE,Lima, -11.94306, -76.70944
357,CN,Shanghai, 35.20889, 111.73861
358,JP,Tokyo, 35.815, 139.6853
359,IN,Kolkata, 27.9247, 78.40102
360,UZ,Samarkand, 40.11583, 67.84222
361,IN,Kolkata, 21.59983, 71.21169
362,IN,Kolkata, 19.21667, 73.08333
363,BR,Bahia, -15.675, -38.94722
364,ZA,Johannesburg, -24.19436, 29.00974
365,IN,Kolkata, 23.07492, 88.28637
366,MX,Mexico_City, 19.04222, -98.11889
367,CN,Shanghai, 36.19278, 117.65694
368,BR,Sao_Paulo, -22.92306, -53.13722
369,RU,Volgograd, 50.06, 43.2379
370,GB,London, 53.00974, -3.05814
371,NE,Niamey, 13.70727, 9.15013
372,PK,Karachi, 31.71667, 73.38333
373,TR,Istanbul, 38.37255, 34.02537
374,AU,Melbourne, -37.9, 145.18333
375,TH,Bangkok, 14.37395, 100.48528
376,KR,Seoul, 37.1759, 128.9889
377,US,Los_Angeles, 47.76232, -122.2054
378,US,Los_Angeles, 33.95015, -118.03917
379,NG,Lagos, 11.86064, 9.0027
380,TH,Bangkok, 15.79408, 104.1451
381,CA,Toronto, 45.43341, -73.86586
382,FI,Helsinki, 65.84811, 24.14662
383,MX,Mazatlan, 22.49396, -105.36369
384,CH,Zurich, 47.30997, 8.52462
385,DE,Berlin, 51.20219, 7.36027
386,NG,Lagos, 7.62789, 4.74161
387,MX,Mexico_City, 19.8173, -97.35992
388,IQ,Baghdad, 32.61603, 44.02488
389,US,New_York, 40.5576, -74.28459
390,ID,Jakarta, -6.91806, 106.92667
391,BE,Brussels, 51.24197, 4.82313
392,CN,Shanghai, 36.81667, 117.81667
393,HR,Zagreb, 43.50891, 16.43915
394,DE,Berlin, 48.06919, 11.37703
395,IN,Kolkata, 22.10194, 85.37752
396,US,New_York, 41.27621, -72.86843
397,RU,Yekaterinburg, 56.11281, 69.49015
398,US,Chicago, 41.57721, -93.71133
399,BR,Sao_Paulo, -17.74431, -48.62789
400,US,Chicago, 36.61033, -88.31476
401,ES,Madrid, 42.64685, -5.55835
402,HR,Zagreb, 43.50891, 16.43915
403,NG,Lagos, 7.6, 4.18333
404,CN,Shanghai, 33.78333, 114.51667
405,CN,Shanghai, 34.56861, 105.89333
406,US,New_York, 41.9001, -71.08977
407,KE,Nairobi, 0.46005, 34.11169
408,TN,Tunis, 37.16911, 10.03478
409,BR,Maceio, -10.90889, -37.03861
410,US,Los_Angeles, 33.93113, -117.54866
411,BR,Sao_Paulo, -25.42944, -50.00639
412,ID,Jakarta, 0.51667, 101.44167
413,US,Los_Angeles, 34.14251, -118.25508
414,IE,Dublin, 53.53333, -7.35
415,GB,London, 57.14369, -2.09814
416,TZ,Dar_es_Salaam, -7.60361, 37.00438
417,TR,Istanbul, 37.58105, 29.26639
418,JP,Tokyo, 35.06667, 135.21667
419,AU,Perth, -31.95224, 115.8614
420,ES,Madrid, 38.68712, -4.10734
421,UA,Kiev, 46.65581, 32.6178
422,PH,Manila, 12.97389, 123.99333
423,PK,Karachi, 31.71667, 73.38333
424,MD,Chisinau, 48.15659, 28.28489
425,DZ,Algiers, 36.61954, 4.08282
426,IN,Kolkata, 22.75218, 72.68533
427,PK,Karachi, 27.52948, 68.75915
428,CO,Bogota, 5.6561, -75.87877
429,AU,Sydney, -33.75881, 150.99292
430,BR,Bahia, -15.675, -38.94722
431,FR,Paris, 48.77644, 2.29026
432,UG,Kampala, 3.27833, 32.88667
433,DZ,Algiers, 34.15429, 3.50309
434,SE,Stockholm, 59.33333, 18.28333
435,RU,Moscow, 59.80917, 30.38167
436,FR,Paris, 45.51667, 4.86667
437,CD,Lubumbashi, 0.49113, 29.47306
438,AR,Argentina, -34.74785, -58.70072
439,RU,Krasnoyarsk, 55.54028, 89.20083
440,NG,Lagos, 6.15038, 6.83042
441,DE,Berlin, 52.61131, 13.31783
442,IL,Jerusalem, 31.39547, 34.75699
443,JP,Tokyo, 41.77583, 140.73667
444,ID,Jakarta, 3.3285, 99.1625
445,US,Chicago, 32.44874, -99.73314
446,US,Chicago, 35.61452, -88.81395
447,IN,Kolkata, 14.62072, 74.83554
448,US,Chicago, 41.72059, -87.70172
449,PT,Azores, 37.74615, -25.66689
450,JP,Tokyo, 41.77583, 140.73667
451,RU,Vladivostok, 45.47885, 133.42825
452,RS,Belgrade, 44.97639, 19.61222
453,CN,Shanghai, 45.35, 126.28333
454,US,New_York, 33.08014, -83.2321
455,CN,Shanghai, 35.50056, 117.63083
456,AF,Kabul, 36.21544, 65.93249
457,TJ,Dushanbe, 38.55632, 69.01354
458,US,New_York, 42.52787, -70.92866
459,BR,Santarem, -3.20333, -52.20639
460,IN,Kolkata, 10.10649, 76.35484
461,US,New_York, 40.65538, -74.38987
462,US,New_York, 41.48199, -81.79819
463,DE,Berlin, 49.03685, 8.70745
464,ID,Jakarta, -7.51611, 109.05389
465,DE,Berlin, 50.80019, 7.20769
466,IN,Kolkata, 25.92493, 73.66633
467,MX,Mexico_City, 19.8173, -97.35992
468,MX,Matamoros, 25.87972, -97.50417
469,US,Chicago, 31.12406, -97.90308
470,RU,Moscow, 42.819, 47.1192
471,RU,Moscow, 61.78491, 34.34691
472,NL,Amsterdam, 53.16167, 6.76111
473,US,Honolulu, 20.88953, -156.47432
474,UZ,Samarkand, 40.11583, 67.84222
475,VE,Caracas, 10.22677, -67.33122
476,KR,Seoul, 34.8825, 128.62667
477,US,Chicago, 34.25807, -88.70464
478,GB,London, 53.69786, -2.68758
479,IN,Kolkata, 18.18158, 76.03889
480,US,Chicago, 37.95143, -91.77127
481,PH,Manila, 9.6531, 124.3697
482,PH,Manila, 12.35275, 121.06761
483,ID,Jakarta, -7.73379, 113.69785
484,ES,Madrid, 37.13548, -3.67029
485,TH,Bangkok, 13.44581, 101.18445
486,MX,Mexico_City, 20.22816, -103.5687
487,GB,London, 55.82737, -4.0573
488,NG,Lagos, 6.15038, 6.83042
489,CZ,Prague, 48.812737, 14.317466
490,IT,Rome, 40.72586, 8.55552
491,US,Los_Angeles, 32.9156, -117.14392
492,SV,El_Salvador, 13.73417, -89.71472
493,UZ,Samarkand, 40.11583, 67.84222
494,GM,Banjul, 13.56667, -15.6
495,BY,Minsk, 53.5942, 25.8191
496,PE,Lima, -16.25, -69.08333
497,JP,Tokyo, 34.9, 137.5
498,IL,Jerusalem, 32.05971, 34.8732
499,PH,Manila, 9.6531, 124.3697
500,IN,Kolkata, 29.22254, 79.5286
501,US,Chicago, 29.84576, -90.10674
502,CO,Bogota, 7.83389, -72.47417
503,IN,Kolkata, 23.1959, 86.51499
504,ES,Madrid, 41.15612, 1.10687
505,IT,Rome, 42.22718, 14.39024
506,BR,Sao_Paulo, -20.87306, -48.29694
507,MG,Antananarivo, -22.9, 44.53333
508,US,New_York, 40.93121, -73.89875
509,NL,Amsterdam, 52.31333, 6.92917
510,PT,Lisbon, 41.20485, -8.33147
511,SA,Riyadh, 27.0174, 49.62251
512,PT,Lisbon, 41.1053, -7.32097
513,ES,Madrid, 38.38479, -0.76773
514,GB,London, 51.78967, 1.15597
515,MX,Matamoros, 25.87972, -97.50417
516,KZ,Aqtobe, 47.83333, 59.6
517,CZ,Prague, 48.975658, 14.480255
518,AZ,Baku, 41.09246, 45.36561
519,PH,Manila, 10.20898, 123.758
520,BR,Sao_Paulo, -25.42944, -50.00639
521,US,New_York, 40.67705, -73.89125
522,ID,Jakarta, -1.6, 103.61667
523,US,Chicago, 30.5427, -97.54667
524,IN,Kolkata, 10.12268, 77.54372
525,DE,Berlin, 51.20219, 7.36027
526,RU,Yakutsk, 65.93381, 111.4834
527,TL,Dili, -8.99167, 125.21972
528,ES,Madrid, 38.96667, -0.18333
529,IN,Kolkata, 18.87813, 72.93924
530,AT,Vienna, 48.25, 16.4
531,US,Detroit, 42.97086, -82.42491
532,US,New_York, 32.54044, -82.90375
533,RU,Moscow, 53.53041, 43.67663
534,IN,Kolkata, 29.21399, 78.95693
535,ID,Jakarta, -6.48167, 106.85417
536,MZ,Maputo, -23.85972, 35.34722
537,US,Chicago, 29.84576, -90.10674
538,BE,Brussels, 51.03427, 5.37429
539,FR,Paris, 48.77644, 2.29026
540,KZ,Aqtobe, 47.83333, 59.6
541,AT,Vienna, 47.05, 15.46667
542,CN,Shanghai, 36.19278, 117.65694
543,PH,Manila, 16.0438, 120.4861
544,IN,Kolkata, 26.32293, 91.00632
545,CA,Toronto, 45.40008, -73.58248
546,GM,Banjul, 13.56667, -15.6
547,NG,Lagos, 7.65649, 4.92235
548,US,New_York, 41.9001, -71.08977
549,IN,Kolkata, 32.55531, 76.12647
550,DE,Berlin, 50.9803, 11.32903
551,FR,Paris, 45.51667, 4.86667
552,IN,Kolkata, 31.28092, 74.85849
553,FR,Paris, 43.71032, -1.05366
554,MX,Mexico_City, 19.64745, -102.04897
555,BD,Dhaka, 22.83957, 91.84128
556,DZ,Algiers, 34.15429, 3.50309
557,JP,Tokyo, 44.35056, 142.45778
558,BE,Brussels, 50.56149, 4.69889
559,MD,Chisinau, 48.15659, 28.28489
560,KZ,Almaty, 47.46657, 84.87144
561,GB,London, 51.62907, -0.74934
562,DE,Berlin, 53.6052, 10.03988
563,NG,Lagos, 6.8485, 3.64633
564,SL,Freetown, 8.48714, -13.2356
565,US,Chicago, 44.73941, -93.12577
566,US,New_York, 40.2737, -76.88442
567,DE,Berlin, 53.6052, 10.03988
568,DE,Berlin, 50.80904, 8.77069
569,ES,Madrid, 43.31667, -2.68333
570,CN,Shanghai, 35.85, 117.7
571,PK,Karachi, 26.9423, 68.11759
572,IN,Kolkata, 18.51957, 73.85535
573,MX,Mexico_City, 19.04222, -98.11889
574,US,Los_Angeles, 34.09611, -118.10583
575,CG,Brazzaville, -4.26613, 15.28318
576,US,Denver, 39.57582, -105.11221
577,JP,Tokyo, 43.82634, 144.09638
578,DE,Berlin, 48.46458, 9.22796
579,DZ,Algiers, 35.21222, 2.31889
580,BR,Santarem, -3.20333, -52.20639
581,IN,Kolkata, 21.53889, 71.57737
582,FR,Paris, 43.32393, 5.4584
583,IN,Kolkata, 24.41288, 76.56719
584,IN,Kolkata, 23.49668, 86.68363
585,BR,Recife, -8.66667, -35.71667
586,XK,Belgrade, 42.62833, 20.89389
587,RU,Moscow, 56.85836, 35.90057
588,IT,Rome, 45.39402, 9.29109
589,IT,Rome, 41.24264, 16.50104
590,KZ,Qyzylorda, 44.85278, 65.50917
591,MX,Mexico_City, 17.94979, -94.91386
592,FR,Paris, 43.71032, -1.05366
593,US,Los_Angeles, 37.71715, -122.40433
594,AU,Brisbane, -25.54073, 152.70493
595,ID,Jakarta, -7.73379, 113.69785
596,JP,Tokyo, 36.65, 138.31667
597,US,Chicago, 33.41012, -91.06177
598,MX,Matamoros, 25.87972, -97.50417
599,MX,Mexico_City, 17.06542, -96.72365
600,CN,Shanghai, 41.94175, 123.50266
601,NG,Lagos, 12.74482, 4.52514
602,AU,Melbourne, -37.88333, 145.06667
603,US,Chicago, 29.53885, -95.44744
604,CN,Shanghai, 35.85, 117.7
605,JP,Tokyo, 34.4833, 136.84186
606,PL,Warsaw, 50.5107, 18.30056
607,ET,Addis_Ababa, 11.85, 38.01667
608,IT,Rome, 43.1122, 12.38878
609,MG,Antananarivo, -19.65, 47.31667
610,NL,Amsterdam, 51.955, 5.22778
611,TH,Bangkok, 13.44581, 101.18445
612,MK,Skopje, 42, 21.32778
613,ES,Madrid, 37.49073, -2.77259
614,DE,Berlin, 51.21667, 6.26667
615,UZ,Samarkand, 40.11583, 67.84222
616,KR,Seoul, 37.1759, 128.9889
617,PK,Karachi, 32.87533, 71.57118
618,DZ,Algiers, 35.21222, 2.31889
619,US,Chicago, 41.72059, -87.70172
620,AR,Argentina, -34.64966, -58.38341
621,IT,Rome, 41.55947, 14.66737
622,PT,Lisbon, 38.72706, -9.24671
623,MX,Mexico_City, 19.32932, -98.1664
624,CO,Bogota, 4.73245, -74.26419
625,GB,London, 50.82882, -0.32247
