ЧЛВК_ИД,Тип_воина,Предводитель_ИД,Здоровье,Броня,Оружие
3669,DragonFly,-1,60,9,29
3683,Genie,-1,88,96,23
3692,GreenDragon,-1,49,49,34
3693,Cyclops,-1,27,10,74
3725,RedDragon,-1,81,36,11
3737,DreadKnight,-1,67,14,91
3738,IceElemental,-1,38,57,89
3768,MinotaurKing,-1,13,96,22
3773,WaterElemental,-1,17,32,30
3794,Dwarf,-1,2,11,19
3801,Mage,-1,99,13,64
3807,Familiar,-1,14,81,37
3813,WaterElemental,-1,90,79,80
3835,FaerieDragon,-1,11,55,73
3877,Mage,-1,59,81,48
3907,Swordsman,-1,28,68,8
3985,InfernalTroglodyte,-1,17,6,28
3988,NagaQueen,-1,95,80,72
3990,Orc,-1,4,84,8
3997,Monk,-1,12,48,97
4000,Cavalier,-1,26,45,57
4005,Naga,-1,92,12,67
4023,Lich,-1,19,37,30
4030,Halfling,-1,24,72,8
4031,Beholder,-1,65,26,54
4068,Archer,-1,67,95,78
4146,VampireLord,-1,52,4,57
4159,GnollMarauder,-1,60,96,81
4182,Pixie,-1,3,57,86
4183,AncientBehemoth,-1,24,89,49
4231,Harpy,-1,41,61,59
4278,DragonFly,-1,21,82,80
4286,NagaQueen,-1,61,18,14
4289,WyvernMonarch,-1,12,25,91
4298,BattleDwarf,-1,76,45,88
4307,MasterGremlin,-1,35,62,62
4316,NagaQueen,-1,40,30,29
4332,WalkingDead,-1,14,63,93
4417,Firebird,-1,54,22,33
4444,HornedDemon,-1,48,2,100
4453,Troglodyte,-1,6,60,65
4475,DendroidSoldier,-1,1,93,100
4523,ObsidianGargoyle,-1,41,23,96
4556,Archer,-1,35,75,93
4571,SilverPegasus,-1,56,91,16
4598,PitFiend,-1,61,16,35
4613,Gnoll,-1,26,46,26
4628,RedDragon,-1,63,54,26
4634,MinotaurKing,-1,75,66,46
4635,Thunderbird,-1,47,53,8
4643,EfreetSultan,-1,31,69,39
4646,Mummy,-1,85,58,6
4649,GoldGolem,-1,90,99,31
4689,StoneGargoyle,-1,82,18,10
4758,Lich,-1,98,18,37
4760,Skeleton,-1,1,10,9
4808,Efreet,-1,82,86,73
4809,FireElemental,-1,75,75,88
4836,Minotaur,-1,65,91,48
4844,Basilisk,-1,66,64,66
4849,WolfRider,-1,3,23,7
4890,Beholder,-1,90,58,31
4896,Titan,-1,63,1,41
4904,GnollMarauder,-1,100,44,41
4917,AirElemental,-1,8,90,87
4927,Titan,-1,4,66,59
4928,Phoenix,-1,87,85,84
4951,DiamondGolem,-1,68,24,73
4953,Manticore,-1,93,31,89
4954,Crusader,-1,45,16,95
4974,ArchMage,-1,21,69,37
5000,Wyvern,-1,71,17,3
5081,Phoenix,-1,37,8,20
5082,Orc,-1,24,5,62
5092,OrcChieftain,-1,53,59,62
5103,Demon,-1,39,91,68
5154,EnergyElemental,-1,36,40,17
5174,Magog,-1,28,45,44
5187,WalkingDead,-1,27,39,34
5188,Cerberus,-1,99,21,35
5189,EfreetSultan,-1,81,21,87
5256,SilverPegasus,-1,44,51,65
5261,Titan,-1,66,14,18
5276,PitFiend,-1,83,2,98
5280,VampireLord,-1,53,52,48
5314,GrandElf,-1,12,71,20
5335,Halberdier,-1,69,90,77
5350,EvilEye,-1,93,77,12
5396,StormElemental,-1,55,68,14
5403,MagicElemental,-1,88,41,12
5416,FireElemental,-1,46,62,20
5441,Pixie,-1,95,53,80
5442,Halberdier,-1,84,3,100
5463,Phoenix,-1,38,30,72
5517,ArchMage,-1,58,34,76
5528,Griffin,-1,34,80,28
5544,StoneGargoyle,-1,22,68,89
5552,Sharpshooter,-1,66,73,40
5623,Pikeman,-1,88,48,43
5633,PitFiend,-1,2,94,91
5645,GhostDragon,-1,13,15,34
5659,RedDragon,-1,47,96,21
5667,DendroidGuard,-1,7,27,65
5678,Wyvern,-1,48,100,41
5755,Angel,-1,24,26,26
5803,BlackDragon,-1,33,55,97
5813,Skeleton,-1,85,100,78
5829,Goblin,-1,88,83,78
5880,Marksman,-1,82,5,78
5921,Boar,-1,92,77,48
5925,RustDragon,-1,27,57,20
5992,SkeletonWarrior,-1,75,11,17
6015,StormElemental,-1,54,8,29
6113,Hydra,-1,84,40,35
6115,Harpy,-1,79,21,74
6116,Nomad,-1,98,10,10
6122,Mage,-1,5,2,11
6128,RustDragon,-1,25,33,34
6140,Pegasus,-1,77,76,55
6188,StoneGargoyle,-1,39,15,7
6204,IronGolem,-1,93,33,42
6216,Hydra,-1,39,43,6
6240,Efreet,-1,91,31,39
6249,Cavalier,-1,90,65,2
6261,Griffin,-1,96,4,90
6280,Efreet,-1,42,26,58
6285,Mage,-1,55,69,97
6294,Magog,-1,12,81,31
6309,VampireLord,-1,55,96,96
6325,Sprite,-1,29,95,80
6332,Mummy,-1,82,45,9
6415,FireElemental,-1,51,32,5
6449,Manticore,-1,5,60,66
6498,EarthElemental,-1,35,68,70
6513,Cyclops,-1,72,2,68
6542,Archer,-1,66,11,96
6572,CyclopsKing,-1,41,68,44
6575,GreenDragon,-1,62,54,90
6592,FaerieDragon,-1,72,3,84
6647,Devil,-1,90,54,61
6650,WalkingDead,-1,94,50,84
6670,Phoenix,-1,83,40,63
6672,StoneGolem,-1,40,96,69
6723,Peasant,-1,45,51,6
6750,GreenDragon,-1,95,40,93
6913,Halberdier,-1,73,40,18
6927,Gnoll,-1,97,61,21
6942,Mummy,-1,75,23,34
6965,PitLord,-1,11,9,73
6979,Crusader,-1,16,31,99
6993,Swordsman,-1,29,18,72
6995,SilverPegasus,-1,63,51,93
6997,DragonFly,-1,31,82,64
7007,HornedDemon,-1,78,65,95
7009,Troglodyte,-1,57,5,35
7016,Peasant,-1,26,4,43
7019,MagicElemental,-1,53,15,41
7029,CrystalDragon,-1,45,64,73
7034,Imp,-1,92,63,9
7046,Champion,-1,51,74,24
7058,Lich,-1,45,60,10
7082,GrandElf,-1,62,47,37
7113,MasterGremlin,-1,72,47,9
7115,IronGolem,-1,75,3,53
7152,BattleDwarf,-1,44,65,80
7157,Devil,-1,46,71,69
7163,HarpyHag,-1,20,84,2
7174,DragonFly,-1,11,53,60
7180,PsychicElemental,-1,40,34,61
7186,Giant,-1,52,18,9
7188,Unicorn,-1,78,82,29
7216,WaterElemental,-1,62,51,5
7246,CrystalDragon,-1,21,59,52
7249,RustDragon,-1,9,98,83
7270,StormElemental,-1,94,83,30
7283,Roc,-1,75,80,97
7289,VampireLord,-1,46,70,15
7328,Zealot,-1,51,19,42
7354,CrystalDragon,-1,17,10,99
7363,Firebird,-1,31,98,4
7385,Enchanter,-1,53,98,70
7422,Peasant,-1,89,17,51
7450,CrystalDragon,-1,26,25,79
7461,HarpyHag,-1,68,66,68
7493,DragonFly,-1,78,86,5
7566,WolfRider,-1,88,56,56
7585,Scorpicore,-1,71,59,64
7594,Unicorn,-1,19,69,27
7608,Phoenix,-1,42,21,60
7612,SilverPegasus,-1,50,76,34
7616,IceElemental,-1,55,27,73
7624,StoneGolem,-1,25,29,3
7678,Titan,-1,71,62,98
7694,SkeletonWarrior,-1,92,16,42
7724,Medusa,-1,34,71,48
7742,Familiar,-1,66,83,72
7791,MagmaElemental,-1,81,69,23
7823,EnergyElemental,-1,34,73,43
7838,GrandElf,-1,47,11,75
7864,Manticore,-1,25,38,13
7878,PitFiend,-1,15,87,99
7890,WyvernMonarch,-1,72,66,28
7893,Zealot,-1,67,53,56
7900,EfreetSultan,-1,18,47,68
7945,EarthElemental,-1,69,3,57
7965,Cerberus,-1,31,48,37
7970,Manticore,-1,26,51,51
7983,Titan,-1,28,69,47
8006,MagicElemental,-1,46,4,56
8013,Zealot,-1,62,40,43
8016,SerpentFly,-1,49,28,47
8042,Efreet,-1,16,50,3
8053,Imp,-1,43,39,93
8068,CentaurCaptain,-1,76,57,37
8081,Skeleton,-1,33,71,67
8102,Basilisk,-1,14,8,82
8103,OgreMage,-1,75,88,35
8128,WyvernMonarch,-1,55,76,82
8136,ArchMage,-1,75,27,39
8145,HornedDemon,-1,60,16,71
8159,Archangel,-1,12,24,82
8162,GreaterBasilisk,-1,52,87,35
8178,GoldGolem,-1,75,31,90
8189,Dwarf,-1,52,18,50
8268,InfernalTroglodyte,-1,78,83,11
8308,Monk,-1,93,1,67
8323,Giant,-1,19,61,82
8337,NagaQueen,-1,4,79,98
8346,DendroidSoldier,-1,60,74,62
8359,Minotaur,-1,63,4,92
8373,OgreMage,-1,12,92,38
8381,AirElemental,-1,7,16,5
8392,Rogue,-1,26,24,92
8417,WyvernMonarch,-1,84,15,89
8423,Medusa,-1,36,57,25
8448,Giant,-1,76,32,12
8451,MasterGremlin,-1,32,53,34
8458,GoldDragon,-1,60,82,41
8476,BoneDragon,-1,18,16,17
8504,Cerberus,-1,64,31,43
8506,BattleDwarf,-1,97,6,76
8525,BlackDragon,-1,43,14,92
8580,Basilisk,-1,34,74,4
8611,BoneDragon,-1,78,55,97
8615,Angel,-1,35,21,78
8621,PitLord,-1,84,49,7
8623,Dwarf,-1,68,19,95
8627,BlackKnight,-1,80,4,69
8634,EnergyElemental,-1,38,6,31
8649,Cerberus,-1,61,40,60
8663,DreadKnight,-1,16,61,17
8683,IronGolem,-1,66,76,93
8693,InfernalTroglodyte,-1,93,90,41
8696,Skeleton,-1,92,19,6
8705,Gog,-1,60,71,1
8754,IceElemental,-1,48,42,23
8784,Unicorn,-1,56,61,10
8786,Monk,-1,82,89,7
8793,Zealot,-1,79,87,33
8798,Lizardman,-1,49,26,50
8827,SkeletonWarrior,-1,1,71,59
8867,Mummy,-1,73,48,94
8877,GhostDragon,-1,70,49,14
8879,AzureDragon,-1,67,91,65
8897,Minotaur,-1,94,37,26
8904,Troglodyte,-1,78,44,49
8912,BattleDwarf,-1,68,47,31
8956,DreadKnight,-1,51,83,62
8965,BlackKnight,-1,83,38,11
8984,VampireLord,-1,71,35,24
9001,DreadKnight,-1,12,93,39
9022,DreadKnight,-1,33,98,44
9038,Monk,-1,72,88,23
9094,Unicorn,-1,22,27,88
9147,EvilEye,-1,23,31,39
9149,Champion,-1,88,65,84
9152,Nomad,-1,44,56,76
9170,Troll,-1,72,55,56
9173,Angel,-1,47,51,4
9178,Orc,-1,8,40,66
9194,BoneDragon,-1,36,36,30
9209,PitLord,-1,32,33,91
9252,Manticore,-1,23,14,21
9258,EfreetSultan,-1,30,2,39
9260,OrcChieftain,-1,88,58,84
9273,MedusaQueen,-1,83,100,24
9315,Angel,-1,79,44,29
9333,Pixie,-1,47,23,38
9344,Crusader,-1,59,7,66
9351,Roc,-1,86,95,3
9362,Genie,-1,4,58,21
9367,GreenDragon,-1,98,89,64
9370,RustDragon,-1,16,42,8
9397,Archangel,-1,91,26,31
9410,Efreet,-1,82,39,5
9414,Behemoth,-1,3,8,35
9423,Demon,-1,42,56,41
9427,Behemoth,-1,84,25,31
9433,Marksman,-1,75,74,77
9451,Roc,-1,90,21,15
9456,Devil,-1,21,91,24
9498,WolfRaider,-1,5,99,28
9503,Sharpshooter,-1,67,54,86
9565,Thunderbird,-1,87,34,6
9570,GnollMarauder,-1,86,32,24
9585,Zealot,-1,9,96,52
9598,Hobgoblin,-1,38,40,98
9642,GoldDragon,-1,68,5,58
9733,OgreMage,-1,2,41,30
9739,Harpy,-1,21,33,85
9755,Manticore,-1,99,65,3
9771,Behemoth,-1,12,84,46
9773,Behemoth,-1,5,45,20
9778,SerpentFly,-1,56,72,41
9799,Peasant,-1,56,54,11
9804,MagicElemental,-1,63,97,4
9836,Minotaur,-1,23,22,69
9841,Medusa,-1,53,48,83
9861,Imp,-1,11,45,65
9886,Pegasus,-1,4,90,94
9907,StoneGargoyle,-1,64,15,57
9910,FireElemental,-1,41,81,82
9934,GoldGolem,-1,91,68,99
9938,MagicElemental,-1,84,82,31
9952,StoneGolem,-1,94,79,77
9983,DiamondGolem,-1,16,38,90
9987,DreadKnight,-1,71,36,26
9988,Gorgon,-1,23,46,1
10118,ArchDevil,-1,67,13,3
10152,WyvernMonarch,-1,14,62,89
10189,Archangel,-1,41,89,76
10192,Orc,-1,46,22,47
10238,BoneDragon,-1,85,94,30
10256,Demon,-1,22,27,62
10266,RoyalGriffin,-1,96,4,93
10292,GoldGolem,-1,83,25,20
10316,CrystalDragon,-1,35,10,67
10435,Beholder,-1,9,7,28
10479,Firebird,-1,52,49,13
10494,MasterGenie,-1,13,30,64
10502,AncientBehemoth,-1,80,6,70
10551,Gog,-1,63,72,76
10584,Troll,-1,93,25,69
10585,Thunderbird,-1,56,78,88
10598,Hobgoblin,-1,85,26,77
10609,Giant,-1,80,50,75
10621,Sharpshooter,-1,37,19,11
10652,GreaterBasilisk,-1,20,71,80
10655,Pixie,-1,77,89,20
10676,StoneGargoyle,-1,89,90,86
10696,Skeleton,-1,30,86,29
10697,Medusa,-1,90,43,96
10716,Troll,-1,7,14,95
10724,Minotaur,-1,51,94,24
10742,SkeletonWarrior,-1,19,12,81
10760,Angel,-1,78,65,48
10767,Manticore,-1,20,37,55
10777,DreadKnight,-1,10,20,24
10778,PitFiend,-1,66,36,67
10798,Halberdier,-1,24,90,20
10823,Ogre,-1,56,82,94
10949,Wight,-1,9,98,56
10961,StormElemental,-1,19,47,78
11006,AirElemental,-1,26,30,25
11070,SkeletonWarrior,-1,81,11,84
11074,Swordsman,-1,96,83,39
11075,Pegasus,-1,67,71,61
11079,LizardWarrior,-1,27,15,72
11083,StoneGolem,-1,24,72,55
11107,Genie,-1,6,63,98
11112,Gorgon,-1,77,17,52
11115,GhostDragon,-1,11,21,79
11127,WarUnicorn,-1,62,2,100
11132,Troll,-1,36,38,6
11165,Efreet,-1,61,34,86
11182,Pegasus,-1,34,84,9
11206,Zealot,-1,98,83,37
11227,BlackKnight,-1,92,90,32
11278,Genie,-1,84,31,86
11281,Griffin,-1,33,16,18
11290,BlackDragon,-1,6,87,11
11382,Pixie,-1,19,85,79
11408,SkeletonWarrior,-1,65,2,12
11478,Manticore,-1,34,90,21
11500,StormElemental,-1,36,56,38
11550,CyclopsKing,-1,68,70,23
11608,Vampire,-1,44,74,67
11626,Gnoll,-1,59,55,57
11658,Sharpshooter,-1,24,4,58
11693,Troll,-1,12,42,94
11716,ArchMage,-1,39,24,20
11728,BattleDwarf,-1,64,41,100
11740,Wight,-1,34,68,50
11788,Hobgoblin,-1,29,42,47
11790,Archer,-1,7,56,69
11811,Champion,-1,78,60,63
11814,Cerberus,-1,95,18,68
11856,Hobgoblin,-1,68,31,14
11858,OrcChieftain,-1,91,60,36
11868,DiamondGolem,-1,92,74,24
11870,Pegasus,-1,50,17,88
11875,Roc,-1,8,79,40
11935,BlackKnight,-1,34,83,66
11947,HornedDemon,-1,74,3,6
11955,Gog,-1,63,32,87
11980,FaerieDragon,-1,10,6,12
11999,GreenDragon,-1,44,11,60
12002,IceElemental,-1,58,78,91
12014,Gnoll,-1,78,91,63
12031,Halberdier,-1,76,97,2
12037,Troglodyte,-1,17,75,1
12062,Wyvern,-1,9,85,81
12076,Peasant,-1,69,7,62
12106,GoldGolem,-1,95,84,79
12107,DendroidSoldier,-1,81,45,96
12112,Archer,-1,35,82,22
12138,Ogre,-1,83,84,61
12139,Archangel,-1,19,85,7
12174,Monk,-1,6,23,10
12240,BattleDwarf,-1,91,6,92
12250,DreadKnight,-1,90,52,95
12259,Nomad,-1,28,26,10
12279,PowerLich,-1,20,35,51
12285,GreenDragon,-1,30,88,3
12288,Pikeman,-1,16,53,50
12297,Vampire,-1,66,82,78
12300,StoneGolem,-1,56,4,15
12306,PitLord,-1,6,77,19
12326,Magog,-1,90,82,2
12331,PitLord,-1,62,94,33
12349,PsychicElemental,-1,40,69,27
12352,ArchDevil,-1,98,34,17
12377,Skeleton,-1,88,18,58
12394,Zombie,-1,86,29,91
12400,HornedDemon,-1,76,12,74
12479,SerpentFly,-1,99,54,70
12485,ArchDevil,-1,16,83,40
12505,BlackKnight,-1,20,75,46
12510,CyclopsKing,-1,9,33,93
12523,Archer,-1,14,59,99
12555,BlackKnight,-1,54,11,41
12562,HarpyHag,-1,29,20,82
12582,Orc,-1,79,1,1
12600,RoyalGriffin,-1,68,7,50
12641,Skeleton,-1,76,90,52
12646,PsychicElemental,-1,77,15,28
12653,BattleDwarf,-1,80,51,38
12656,Cyclops,-1,8,46,84
12669,EfreetSultan,-1,96,13,52
12685,Gorgon,-1,44,8,65
12698,StoneGargoyle,-1,13,14,43
12701,Harpy,-1,91,41,64
12704,Monk,-1,54,62,27
12807,Sharpshooter,-1,86,56,17
12830,CyclopsKing,-1,72,84,41
12854,HellHound,-1,40,2,92
12887,Swordsman,-1,58,8,68
12892,Unicorn,-1,48,69,58
12948,MinotaurKing,-1,11,19,83
12950,Champion,-1,27,72,5
13008,Beholder,-1,76,13,89
13014,Marksman,-1,57,89,7
13038,FireElemental,-1,43,36,97
13039,Wraith,-1,48,31,95
13043,Genie,-1,10,60,27
13046,MightyGorgon,-1,93,34,69
13058,RustDragon,-1,72,5,96
13064,Genie,-1,52,75,24
13083,Ogre,-1,15,74,57
13090,PitLord,-1,38,73,36
13115,InfernalTroglodyte,-1,60,36,32
13117,GoldDragon,-1,68,82,93
13133,AncientBehemoth,-1,85,18,30
13152,Marksman,-1,7,24,5
13237,Sprite,-1,50,24,69
13251,Zealot,-1,26,63,3
13259,WolfRaider,-1,96,60,14
13269,Magog,-1,94,32,60
13290,Pegasus,-1,24,8,91
13307,GreaterBasilisk,-1,71,24,55
13338,Archer,-1,89,47,98
13363,Behemoth,-1,24,9,91
13392,CentaurCaptain,-1,7,40,43
13403,Thunderbird,-1,71,25,66
13406,EvilEye,-1,2,7,98
13466,IronGolem,-1,66,23,45
13469,Halberdier,-1,38,76,13
13485,MedusaQueen,-1,93,69,1
13533,ChaosHydra,-1,18,36,93
13618,IceElemental,-1,12,69,34
13632,Sharpshooter,-1,55,35,11
13636,WolfRider,-1,20,67,18
13727,Mummy,-1,28,81,98
13745,InfernalTroglodyte,-1,10,14,26
13822,EfreetSultan,-1,65,19,77
13855,WalkingDead,-1,9,79,43
13872,Genie,-1,16,25,36
13893,GoldDragon,-1,86,24,22
13927,Troll,-1,93,84,60
13943,OgreMage,-1,16,88,84
13961,SilverPegasus,-1,34,64,93
13985,PowerLich,-1,45,92,7
14009,FaerieDragon,-1,48,23,30
14013,Magog,-1,30,50,75
14019,Mage,-1,72,2,96
14051,Hydra,-1,78,56,93
14055,Hydra,-1,57,96,43
14077,ArchDevil,-1,39,40,31
14091,MasterGenie,-1,12,49,22
14095,Archangel,-1,7,64,35
14115,RedDragon,-1,18,51,4
14167,PitLord,-1,51,51,12
14188,Naga,-1,5,34,31
14199,Nomad,-1,92,32,73
14209,StoneGolem,-1,68,33,34
14238,HarpyHag,-1,51,76,30
14252,Basilisk,-1,95,8,79
14301,WolfRaider,-1,99,40,25
14304,Marksman,-1,45,21,57
14305,Thunderbird,-1,96,2,33
14314,CentaurCaptain,-1,93,16,3
14324,HellHound,-1,49,81,49
14329,MinotaurKing,-1,87,5,27
14361,AncientBehemoth,-1,60,68,91
14415,Zombie,-1,7,50,6
14433,EvilEye,-1,5,52,73
14442,GrandElf,-1,79,97,71
14459,Halfling,-1,29,13,34
14475,Harpy,-1,61,82,70
14532,PsychicElemental,-1,45,53,95
14546,Skeleton,-1,44,99,63
14571,Troll,-1,50,63,78
14591,RedDragon,-1,11,24,77
14608,InfernalTroglodyte,-1,89,78,3
14638,Minotaur,-1,96,64,36
14643,EnergyElemental,-1,63,83,91
14654,Cavalier,-1,13,16,51
14675,EnergyElemental,-1,66,26,28
14731,Wraith,-1,54,3,30
14735,PowerLich,-1,54,41,20
14761,Hobgoblin,-1,79,21,53
14809,Gnoll,-1,45,83,10
14838,Ogre,-1,10,20,84
14897,Gorgon,-1,42,64,24
14922,Vampire,-1,23,35,96
14956,Halberdier,-1,65,27,52
14979,Gremlin,-1,35,79,10
14988,DendroidSoldier,-1,16,37,25
14991,SilverPegasus,-1,81,9,72
14992,Goblin,-1,48,86,69
15013,Basilisk,-1,63,66,54
15017,Nomad,-1,90,61,90
15028,Efreet,-1,89,44,38
15054,StoneGolem,-1,89,47,68
15089,Crusader,-1,26,62,3
15155,NagaQueen,-1,65,31,72
15173,Giant,-1,38,72,67
15205,ArchMage,-1,13,79,92
15208,Medusa,-1,34,71,37
15209,Hobgoblin,-1,36,75,61
15259,Firebird,-1,88,80,82
15273,EfreetSultan,-1,81,57,76
15283,MasterGenie,-1,54,53,20
15308,ArchMage,-1,40,66,82
15318,GhostDragon,-1,41,87,71
15331,RedDragon,-1,44,47,67
15365,Pikeman,-1,25,80,86
15372,DendroidGuard,-1,16,30,37
15382,Angel,-1,11,33,94
15386,WyvernMonarch,-1,79,54,87
15419,Demon,-1,98,62,79
15440,Roc,-1,69,72,82
15509,Pikeman,-1,93,100,90
15542,BlackKnight,-1,57,13,57
15573,Gremlin,-1,79,70,68
15580,HellHound,-1,90,8,52
15597,Wight,-1,65,45,21
15606,Nomad,-1,79,57,24
15615,MedusaQueen,-1,23,98,45
15616,Champion,-1,50,87,85
15621,Imp,-1,20,13,53
15667,DiamondGolem,-1,93,11,34
15705,Imp,-1,3,68,8
15713,BoneDragon,-1,11,99,100
15761,ArchDevil,-1,35,62,5
15764,Gorgon,-1,70,90,41
15768,AzureDragon,-1,39,20,50
15778,OrcChieftain,-1,20,31,21
15786,OgreMage,-1,76,60,25
15798,Gorgon,-1,53,45,20
15820,DendroidSoldier,-1,45,89,80
15829,GrandElf,-1,83,57,74
15840,Troglodyte,-1,82,22,9
15963,Mage,-1,67,14,56
15969,Griffin,-1,69,37,29
15982,OrcChieftain,-1,35,92,56
16002,Lizardman,-1,8,65,93
16007,Rogue,-1,22,70,18
16062,HarpyHag,-1,50,25,64
16069,LizardWarrior,-1,76,12,6
16086,Medusa,-1,8,28,53
16109,MinotaurKing,-1,59,65,18
16156,Ogre,-1,68,62,89
16171,GoldGolem,-1,32,49,29
16173,FaerieDragon,-1,7,19,78
16249,VampireLord,-1,32,11,51
